N	3gram	Tiupa_Teor_1	Myslijsy
1	в том что	8	16
2	и то же	1	5
3	по отношению к	4	5
4	заключает в себе	1	5
5	по крайней мере	1	5
6	одно и то	1	5
7	а в том	1	5
8	то же время	5	5
9	в то же	5	5
10	с другой стороны	5	4
11	в то время	1	4
12	более или менее	2	3
13	с одной стороны	2	3
14	в произведении искусства	1	3
15	в свою очередь	2	3
16	тем не менее	3	3
17	для того чтобы	1	3
18	не может быть	4	3
19	а между тем	1	2
20	подобно тому как	1	2
21	в первом случае	1	2
22	не могут быть	2	2
23	как и в	2	2
24	не только не	2	2
25	и в слове	1	2
26	можно сказать что	2	2
27	к тому что	2	2
28	сама по себе	1	2
29	том что она	1	1
30	точки зрения и	1	1
31	таким образом что	1	1
32	могли бы быть	1	1
33	в себе самом	1	1
34	то же самое	1	1
35	может быть назван	1	1
36	а тем более	1	1
37	искусства может быть	1	1
38	из того что	1	1
39	в противном случае	1	1
40	значении этого слова	2	1
41	со всех сторон	1	1
42	в том случае	1	1
43	к субъекту и	1	1
44	в таких случаях	1	1
45	в данном случае	5	1
46	себя и что	1	1
47	соединению с другими	1	1
48	отношения к миру	1	1
49	того что не	1	1
50	между тем в	1	1
51	так или иначе	4	1
52	по себе еще	1	1
53	может быть названо	2	1
54	бы ни был	1	1
55	заключать в себе	1	1
56	только то что	1	1
57	это было бы	1	1
58	что даже в	1	1
59	заключается в том	1	1
60	имея в виду	1	1
61	на свое место	1	1
62	и тем самым	2	1
63	о том что	1	1
64	тем и другим	1	1
65	а и е	1	1
66	состоит не в	1	1
67	в художественном произведении	1	1
68	друг от друга	1	1
69	но не в	1	1
70	таким образом и	1	1
71	именно потому что	1	1
72	все то что	1	1
73	на первый взгляд	1	1
74	себе еще не	1	1
