N	3gram	Savitsky_P_1	Problemy
1	с точки зрения	3	9
2	в большинстве случаев	1	8
3	не может быть	1	8
4	и не может	1	7
5	в то же	7	5
6	друг с другом	1	5
7	то же время	7	5
8	в том числе	2	4
9	с другой стороны	1	3
10	в отличие от	1	3
11	более или менее	1	3
12	том числе и	1	3
13	в этом смысле	1	2
14	но в то	1	2
15	в том что	4	2
16	но и в	2	2
17	сами по себе	3	2
18	в отношении к	5	2
19	с одной стороны	3	1
20	слова но как	1	1
21	и необходимы и	1	1
22	так же как	1	1
23	если мы не	1	1
24	по сравнению с	1	1
25	мы не только	1	1
26	и в то	2	1
27	не решают вопроса	1	1
28	и в формах	1	1
29	но в отличие	1	1
30	хотя бы и	1	1
31	в xix веке	1	1
32	но в этом	1	1
33	мы не будем	1	1
34	он живет в	1	1
35	не только в	4	1
36	есть прежде всего	1	1
37	она не только	1	1
38	в различных формах	1	1
39	еще не решают	1	1
40	и это ощущение	1	1
41	в собственном смысле	1	1
42	во всяком случае	1	1
43	одной стороны и	2	1
