N	3gram	Berdyaev_O_1	Istorich
1	не может быть	2	7
2	на то что	1	4
3	в том что	1	4
4	что это за	1	3
5	друг с другом	1	3
6	о том что	1	3
7	может быть назван	1	2
8	но и в	2	2
9	то что в	1	2
10	как будто бы	1	2
11	в одном месте	1	2
12	и когда он	1	2
13	само по себе	1	2
14	никогда не было	2	1
15	а иногда и	1	1
16	в другом месте	1	1
17	их не в	1	1
18	прежде всего в	1	1
19	ни к каким	1	1
20	это было бы	2	1
21	о том как	1	1
22	он указывает на	1	1
23	отрицательного отношения к	1	1
24	не было и	1	1
25	но никогда не	1	1
26	и с чего	1	1
27	в том случае	1	1
28	а не только	1	1
29	в иных случаях	1	1
30	ни с какими	1	1
31	он должен был	1	1
32	не в том	1	1
33	не могут быть	2	1
34	с вопросом о	1	1
35	это потому что	1	1
36	это вопрос о	1	1
37	смысле этого слова	1	1
38	после того как	1	1
39	и в этом	2	1
40	для того чтобы	3	1
41	может ли он	1	1
42	в этом отношении	1	1
