N	4gram	Losev_Dial_2	Vvedenie
1	в то же время	3	6
2	не что иное как	3	4
3	с одной стороны и	1	3
4	вопрос о том что	1	3
5	в том отношении что	1	3
6	и т д все	1	2
7	есть не что иное	2	2
8	и т д в	1	2
9	по самой своей природе	1	2
10	заключается в том что	1	2
11	т д все это	1	1
12	по себе не есть	1	1
13	до тех пор пока	1	1
14	точно так же как	1	1
15	и т д и	2	1
16	одно и то же	4	1
17	сама по себе не	2	1
18	в связи с этим	1	1
19	уже само по себе	1	1
20	нечего и говорить о	1	1
21	каждой из них и	1	1
22	мы уже знаем это	1	1
23	и т д однако	1	1
24	говорить о том что	1	1
25	по крайней мере не	1	1
26	в том что обе	1	1
27	и говорить о том	1	1
28	и т д мы	1	1
29	и от того что	1	1
30	вовсе не в том	1	1
31	если принять во внимание	2	1
32	не говоря уже о	2	1
33	теснейшим образом связана с	1	1
34	на тему о том	1	1
