N	3gram	Trubetskoy_1	Stilisti
1	в то же	2	9
2	то же время	2	7
3	для того чтобы	5	7
4	с точки зрения	6	5
5	с самого начала	2	4
6	то же самое	2	4
7	той или иной	2	4
8	в свою очередь	1	4
9	заключает в себе	2	3
10	то или иное	2	3
11	но все же	4	3
12	в конце концов	3	3
13	о том что	4	2
14	в так называемой	1	2
15	а с тем	1	2
16	и в то	1	2
17	но в то	1	2
18	мы видели что	1	2
19	можно сказать что	2	2
20	может показаться что	1	2
21	смысле этого слова	1	2
22	как бы в	1	2
23	к чему не	1	2
24	и для того	2	2
25	чуть ли не	1	2
26	на бранном поле	1	2
27	в связи с	3	2
28	вместе с тем	8	2
29	мы видим что	1	2
30	ни к чему	1	2
31	того что оно	1	2
32	но при этом	1	2
33	в этом отношении	2	2
34	с тем и	2	2
35	не может быть	1	2
36	и перейти к	1	1
37	самого начала было	1	1
38	связанные с религиозными	1	1
39	смысле слова здесь	1	1
40	надо думать что	1	1
41	и все же	1	1
42	только тогда когда	1	1
43	тот факт что	1	1
44	по сравнению с	2	1
45	в одном и	1	1
46	и в этом	2	1
47	именно потому что	1	1
48	все это нам	1	1
49	не только не	1	1
50	не совсем так	1	1
51	и никогда не	1	1
52	с другой стороны	1	1
53	иметь в виду	1	1
54	с нашей точки	1	1
55	в котором они	1	1
56	один из этих	1	1
57	при этом не	1	1
58	и того же	1	1
59	в том что	3	1
60	другими словами в	1	1
61	подойти к рассмотрению	1	1
62	между этими двумя	2	1
63	одном и том	1	1
64	можно говорить лишь	1	1
65	т.е как бы	1	1
66	с течением времени	3	1
67	что оно является	1	1
68	был похож на	1	1
69	по отношению к	1	1
70	но вместе с	2	1
71	и не могут	1	1
72	не был похож	1	1
73	таким образом в	2	1
74	же самое происходит	1	1
75	вследствие того что	1	1
76	более или менее	5	1
77	одного и того	1	1
78	нашей точки зрения	1	1
79	мы имеем в	1	1
80	и том же	1	1
81	лишь то что	1	1
82	это связано с	1	1
83	так и от	2	1
84	и т.д в	1	1
85	в самом деле	1	1
86	конечно не к	1	1
87	в нашем смысле	1	1
88	не может не	1	1
89	здесь таким образом	1	1
90	в себе две	1	1
91	и т.д то	1	1
92	тем не менее	3	1
93	до сих пор	5	1
94	к тому вопросу	1	1
95	по крайней мере	5	1
