N	3gram	Losev_Dial_3	TeoriaLi
1	в том что	3	6
2	то же время	1	6
3	в то же	1	6
4	в данном случае	1	5
5	того или иного	2	5
6	более или менее	1	4
7	в конечном счете	1	4
8	с другой стороны	2	3
9	тем не менее	10	3
10	той или иной	2	3
11	в этом мире	1	2
12	что в основе	1	2
13	с точки зрения	14	2
14	тот или иной	2	2
15	с одной стороны	3	2
16	и то же	2	2
17	так или иначе	2	2
18	одно и то	2	2
19	не только не	7	2
20	тех или иных	1	2
21	сама по себе	4	2
22	не может быть	6	2
23	как и в	3	2
24	таким образом что	1	1
25	я думаю что	1	1
26	том что в	1	1
27	– все это	1	1
28	в чистом виде	1	1
29	этой точки зрения	2	1
30	имеет место в	1	1
31	это было бы	2	1
32	с другой –	1	1
33	имеем в виду	1	1
34	коем случае не	3	1
35	подобно тому как	4	1
36	гоголевский хома брут	1	1
37	что он должен	1	1
38	в таком случае	10	1
39	и в то	1	1
40	чем собственно говоря	1	1
41	ни в коем	3	1
42	бы то ни	1	1
43	имеем дело не	1	1
44	из того что	2	1
45	– это и	1	1
46	перед нами не	1	1
47	точно так же	2	1
48	в коем случае	3	1
49	по крайней мере	5	1
50	из этих двух	1	1
51	еще не есть	1	1
52	субъект и объект	2	1
53	содержит в себе	1	1
54	то ни было	1	1
55	не содержит в	1	1
56	может и должен	1	1
57	не могут быть	2	1
58	и как бы	1	1
59	при условии что	2	1
60	в связи с	1	1
61	исходит из того	1	1
62	так же как	2	1
63	субъекта и объекта	3	1
64	проявляет себя в	1	1
65	в то время	4	1
66	не менее чем	1	1
67	только при условии	1	1
68	к чему не	1	1
69	с этой точки	2	1
70	это и есть	2	1
71	о том что	5	1
72	ни к чему	1	1
73	собственно говоря и	1	1
74	и прежде всего	3	1
75	мы имеем в	1	1
76	у нее нет	1	1
77	миф – это	1	1
78	возможна только в	1	1
79	это было возможно	1	1
80	в сравнении с	3	1
81	к тому же	2	1
