N	2gram	Savitsky_P_1	KFilosof
1	может быть	5	43
2	в его	2	39
3	в нем	3	31
4	не может	4	27
5	в бытии	1	26
6	и не	12	26
7	и в	14	22
8	в себе	3	21
9	в котором	4	21
10	не есть	1	19
11	в ее	2	17
12	а не	2	17
13	только в	7	16
14	точки зрения	3	13
15	в этом	10	13
16	и это	2	12
17	но не	3	12
18	не в	5	11
19	во всех	2	10
20	это не	3	10
21	с точки	3	10
22	в своем	4	10
23	все это	2	10
24	но и	6	9
25	и есть	2	9
26	как бы	4	9
27	не было	2	8
28	со стороны	2	8
29	мир в	1	8
30	если бы	4	8
31	было бы	6	8
32	и здесь	1	7
33	в себя	1	7
34	то что	4	7
35	на основе	1	7
36	что и	1	7
37	должен быть	1	7
38	себя в	1	7
39	в смысле	6	6
40	и я	1	6
41	в том	9	6
42	и только	1	6
43	в мире	2	6
44	отнюдь не	2	6
45	все же	1	5
46	как и	1	5
47	хотя бы	8	5
48	там где	1	5
49	никогда не	1	5
50	не имеет	1	5
51	но как	1	5
52	должно быть	2	5
53	бытия как	1	5
54	именно в	2	5
55	то же	9	5
56	но в	9	5
57	его в	1	5
58	не только	17	5
59	место в	1	4
60	только как	1	4
61	поскольку мы	1	4
62	ценности и	1	4
63	в каком	1	4
64	тем самым	3	4
65	нисколько не	1	4
66	а в	4	4
67	для нас	2	4
68	что в	4	4
69	между тем	3	4
70	мира но	1	4
71	не как	1	4
72	к ним	1	4
73	во всей	2	4
74	том что	4	4
75	с ними	3	4
76	еще не	1	3
77	исторический материализм	1	3
78	этом смысле	1	3
79	и тем	2	3
80	тогда когда	1	3
81	должна быть	1	3
82	не менее	2	3
83	где он	1	3
84	и должна	1	3
85	что это	1	3
86	в каждом	1	3
87	мы не	3	3
88	бы и	1	3
89	и пр	5	3
90	к чему	2	3
91	того что	2	3
92	в момент	1	3
93	в современной	1	3
94	что не	1	3
95	в то	7	3
96	для того	3	3
97	ясно что	1	3
98	могут быть	3	3
99	и на	1	3
100	и этим	1	3
101	культуры и	1	3
