N	2gram	Tiupa_Anal_1	ViktorSh
1	и в	18	2
2	том что	12	2
3	в том	27	2
4	и только	1	1
5	крайней мере	1	1
6	тем более	2	1
7	в другом	4	1
8	хотя бы	3	1
9	и не	21	1
10	все время	1	1
11	и его	5	1
12	потому что	2	1
13	я не	1	1
14	даже не	1	1
15	более чем	4	1
16	сводится к	5	1
17	хотел сказать	1	1
18	и то	2	1
19	поэтического творчества	1	1
20	самом деле	2	1
21	и т.д	1	1
22	от других	1	1
23	по поводу	1	1
24	именно в	4	1
25	в их	5	1
26	теории литературы	1	1
27	говоря иначе	1	1
28	в частности	19	1
29	речи и	1	1
30	одно и	1	1
31	столь же	4	1
32	предлагает нам	1	1
33	говоря о	2	1
34	в которых	1	1
35	деле как	1	1
36	заключается что	1	1
37	в самом	6	1
38	для них	1	1
39	только в	6	1
40	то же	9	1
41	юноши в	1	1
42	так как	2	1
43	далеко не	6	1
44	и составляет	2	1
45	но это	1	1
46	в этом	13	1
47	да и	1	1
48	по крайней	1	1
49	а только	1	1
50	и заключается	2	1
51	том же	1	1
