N	3gram	Bakhtin_sl_2	Istorich
1	и т д	2	22
2	не может быть	15	7
3	тем не менее	1	6
4	более или менее	2	5
5	с другой стороны	1	5
6	до сих пор	2	5
7	мы увидим что	1	5
8	в большинстве случаев	5	4
9	с одной стороны	5	4
10	на то что	1	4
11	в том что	4	4
12	по отношению к	4	3
13	в связи с	2	3
14	о том что	1	3
15	но все же	4	3
16	это не может	1	2
17	в зависимости от	4	2
18	в этих случаях	1	2
19	но и в	1	2
20	могли бы быть	1	2
21	в отличие от	12	2
22	мы видели что	1	2
23	мы не можем	1	2
24	большей или меньшей	1	2
25	с самого начала	1	2
26	т д если	1	2
27	том что она	1	1
28	для всех этих	1	1
29	общие для всех	1	1
30	иметь в виду	1	1
31	с ним но	1	1
32	и в особенности	2	1
33	и др но	1	1
34	материала так и	1	1
35	в средние века	1	1
36	влечет за собой	1	1
37	в этом случае	6	1
38	одной стороны и	3	1
39	но все это	1	1
40	как один из	1	1
41	сами по себе	1	1
42	но оно не	1	1
43	для этой цели	1	1
44	и т п	33	1
45	она может быть	1	1
46	может быть только	1	1
47	при каких условиях	1	1
48	в значительной степени	6	1
49	в ту же	1	1
50	а не только	1	1
51	xix века это	1	1
52	но в то	3	1
53	не только в	2	1
54	и в пределах	1	1
55	в себе как	1	1
56	так и по	1	1
57	шире и глубже	1	1
58	там где уже	1	1
59	не могут быть	2	1
60	это не значит	1	1
61	в этом направлении	1	1
62	тем или иным	1	1
63	с большей или	1	1
64	также в значительной	1	1
65	лишь тогда когда	2	1
66	связи с изучением	1	1
67	таким образом в	1	1
68	чем это кажется	1	1
69	одной стороны оно	1	1
70	никогда не может	2	1
71	того или иного	1	1
72	до xix века	1	1
73	средние века и	1	1
74	иная точка зрения	1	1
75	в этой роли	1	1
76	уже не только	1	1
77	во всем его	1	1
78	не входят в	1	1
79	тех или иных	1	1
80	одно без другого	1	1
81	и в нем	1	1
82	для того чтобы	2	1
83	необходимо иметь в	1	1
84	все это не	1	1
85	по себе а	1	1
86	в этом отношении	3	1
87	мы еще не	1	1
88	до известной степени	1	1
