N	4gram	Losev_Vesc_1	Problema
1	в то же самое	1	4
2	то же самое время	1	4
3	с одной стороны и	1	3
4	не что иное как	7	3
5	есть не что иное	5	3
6	по крайней мере в	1	2
7	взятая сама по себе	1	2
8	а тем не менее	1	2
9	можно ли сказать что	3	2
10	также и то что	1	2
11	вовсе не есть только	1	2
12	уж во всяком случае	1	2
13	то это значит что	2	2
14	заключается в том что	1	2
15	по самому своему смыслу	1	2
16	мы еще не знаем	1	1
17	не только понятие но	1	1
18	и тем не менее	1	1
19	а это значит что	1	1
20	и с другой стороны	1	1
21	есть то что не	1	1
22	не есть ни просто	1	1
23	можно только тогда когда	1	1
24	одной стороны и с	1	1
25	и есть то что	1	1
26	есть то что мы	1	1
27	подобно тому как мы	1	1
28	в то время как	1	1
29	на самом же деле	1	1
30	это значит не только	1	1
31	бы то ни было	4	1
32	не может не быть	1	1
33	до сих пор мы	1	1
34	относится к смысловой сфере	1	1
35	да и то это	1	1
36	вовсе не потому что	1	1
37	свидетельствует о том что	3	1
38	значит ли это что	3	1
39	ни о чем не	1	1
40	можно сказать даже больше	2	1
41	то что не есть	2	1
42	на то или другое	1	1
