N	2gram	Berdyaev_V_1	formyVre
1	и в	16	50
2	то есть	1	33
3	в этом	4	25
4	в нем	4	24
5	человека в	1	17
6	прежде всего	2	15
7	как мы	1	14
8	и не	20	14
9	в его	4	13
10	вовсе не	1	13
11	так и	4	12
12	человека и	6	11
13	то же	1	11
14	может быть	1	11
15	но в	3	10
16	с его	3	9
17	все эти	3	9
18	роль в	1	9
19	не только	2	9
20	ничего не	1	9
21	в том	3	9
22	в конце	3	9
23	и т	2	8
24	и на	1	8
25	в самом	1	8
26	ни в	3	8
27	жизни в	1	8
28	но и	5	8
29	как и	4	8
30	жизни и	3	8
31	для себя	1	7
32	и во	2	7
33	не было	3	7
34	во всех	3	6
35	как в	1	6
36	все же	1	6
37	лишь в	3	6
38	это не	2	6
39	в их	1	6
40	так как	9	6
41	в ее	1	6
42	в жизни	3	6
43	у него	1	6
44	то что	9	6
45	человеческой жизни	1	6
46	так же	1	6
47	в результате	1	6
48	и все	4	6
49	и до	1	5
50	еще не	8	5
51	но не	2	5
52	не в	3	5
53	значение в	1	5
54	жизни но	1	5
55	того чтобы	2	5
56	в разных	1	5
57	могут быть	2	5
58	но все	1	5
59	в образе	4	5
60	для того	1	5
61	что в	3	5
62	и другие	1	5
63	и то	2	4
64	и это	2	4
65	этого мира	3	4
66	мы и	2	4
67	в ней	4	4
68	в своем	1	4
69	конечно не	2	4
70	и с	1	4
71	в них	3	4
72	том что	2	4
73	в котором	4	4
74	в процессе	1	4
75	не имеет	3	4
76	потому что	4	4
77	только в	2	4
78	нет ничего	3	4
79	все это	5	4
80	и для	3	4
81	не имеют	1	3
82	есть не	1	3
83	мы не	2	3
84	в виду	1	3
85	дороги и	2	3
86	себе и	1	3
87	хотя и	5	3
88	со своей	1	3
89	для них	2	3
90	и уже	1	3
91	в этих	3	3
92	что было	2	3
93	их в	3	3
94	жизни не	1	3
95	не могут	2	3
96	к тому	3	3
97	человек был	1	3
98	что и	3	3
99	в форме	2	3
100	один из	2	3
101	мы видим	1	3
102	и ее	1	3
103	в одном	1	3
104	себя и	1	3
105	что не	4	3
106	с тем	2	3
107	а не	7	3
108	мира в	2	3
109	в одно	1	3
110	вместе с	1	3
111	и потому	7	3
112	да и	2	3
113	а в	2	3
114	они не	1	3
115	к этому	1	3
116	во всяком	2	3
117	нем нет	2	2
118	их и	1	2
119	сами же	1	2
120	вопрос о	1	2
121	для раскрытия	1	2
122	но она	1	2
123	на себя	5	2
124	же что	1	2
125	в чем	3	2
126	природы и	1	2
127	мы будем	1	2
128	нет и	2	2
129	в истории	8	2
130	же и	1	2
131	и нет	1	2
132	мир и	2	2
133	от этого	3	2
134	в целом	1	2
135	как бы	5	2
136	вера в	2	2
137	в исторических	1	2
138	уже не	2	2
139	этом мире	1	2
140	и по	1	2
141	этого раскрытия	1	2
142	что все	4	2
143	были в	1	2
144	места в	1	2
145	для него	2	2
146	в своей	3	2
147	не к	2	2
148	в которых	1	2
149	раз и	1	2
150	никогда не	3	2
151	во всем	1	2
152	мире и	1	2
153	оно не	3	2
154	если они	1	2
155	по сравнению	1	2
156	и вообще	1	2
157	с ним	2	2
158	человеческую жизнь	1	2
