N	2gram	Savitsky_E_1	StatiiOP
1	и в	37	25
2	в этом	12	24
3	в том	11	20
4	может быть	6	19
5	тем что	3	19
6	что в	21	19
7	что это	2	16
8	том что	6	15
9	в этой	2	14
10	не только	18	12
11	в его	2	12
12	то что	6	12
13	в этих	2	11
14	таким образом	2	10
15	прежде всего	9	10
16	и не	14	10
17	но и	14	9
18	и т	1	8
19	о том	3	8
20	т е	9	8
21	в своих	2	8
22	с этим	2	7
23	было бы	8	7
24	в то	16	7
25	не может	9	7
26	точки зрения	23	7
27	место в	3	6
28	и на	6	6
29	как в	3	6
30	не в	5	6
31	между тем	8	6
32	только в	9	6
33	в области	11	6
34	в россии	5	6
35	как бы	6	6
36	а в	2	6
37	как на	3	6
38	то же	15	5
39	независимо от	4	5
40	но в	14	5
41	на то	6	5
42	он не	2	5
43	об этом	1	5
44	в котором	2	5
45	потому что	3	5
46	и это	1	5
47	так и	10	5
48	в них	3	5
49	отметить что	3	5
50	с другой	7	5
51	связано с	3	5
52	а не	2	5
53	того что	7	5
54	другой стороны	2	5
55	например в	1	4
56	что эти	2	4
57	время как	1	4
58	точка зрения	2	4
59	в общем	3	4
60	относится к	1	4
61	в центре	1	4
62	все же	1	4
63	не было	1	4
64	и к	3	4
65	то в	4	4
66	на его	1	4
67	состоит в	1	4
68	лишь в	1	4
69	этом смысле	3	4
70	и тем	3	4
71	в жизни	1	4
72	с тем	3	4
73	как и	7	4
74	в эту	2	4
75	у нас	1	4
76	с точки	17	4
77	к ней	4	4
78	этом отношении	3	4
79	в каком	4	4
80	связана с	1	4
81	в ней	4	4
82	и с	2	4
83	если бы	2	4
84	можно сказать	4	4
85	а также	7	4
86	к нему	2	4
87	мы видим	2	4
88	всего в	2	4
89	в качестве	14	4
90	в начале	1	4
91	всяком случае	3	4
92	то время	1	4
93	связь с	1	4
94	в течение	5	4
95	это есть	1	4
96	в смысле	9	4
97	и для	3	4
98	в отдельных	1	4
99	но это	1	4
100	сказать что	4	4
101	в своей	8	4
102	это в	1	4
103	можно назвать	1	4
104	во всяком	3	4
105	говорить о	1	3
106	или из	1	3
107	с его	1	3
108	кроме того	1	3
109	что по	1	3
110	и наконец	2	3
111	все эти	1	3
112	и если	2	3
113	всех этих	1	3
114	на этом	1	3
115	от нее	1	3
116	о которых	1	3
117	несмотря на	4	3
118	в их	11	3
119	и более	2	3
120	тому что	1	3
121	на язык	2	3
122	же время	14	3
123	связи с	1	3
124	и далее	1	3
125	что все	2	3
126	со стороны	5	3
127	на вопрос	1	3
128	и что	2	3
129	по этому	1	3
130	нельзя сказать	1	3
131	и его	1	3
132	уже не	1	3
133	уже в	1	3
134	для него	1	3
135	так как	7	3
136	в некоторых	2	3
137	не является	3	3
138	к которому	1	3
139	что для	1	3
140	одной стороны	8	3
141	с которым	1	3
142	что мы	1	3
143	бы совершенно	2	3
144	в связи	1	3
145	с этой	6	3
146	между прочим	7	3
147	в мировой	1	3
148	тем более	4	3
149	в виде	5	3
150	в какой	2	3
151	речь идет	1	2
152	в чисто	1	2
153	той же	1	2
154	того же	3	2
155	в каждой	1	2
156	во всех	6	2
157	тем как	1	2
158	россии и	3	2
159	но как	2	2
160	только тогда	1	2
161	если в	2	2
162	с которыми	1	2
163	его к	1	2
164	в самом	4	2
165	во многих	4	2
166	и тот	1	2
167	он считает	1	2
168	т д	1	2
169	не как	1	2
170	чтобы в	1	2
171	и по	5	2
172	в остальном	3	2
173	но все	1	2
174	то есть	6	2
175	заключается в	2	2
176	ее в	3	2
177	жизни но	1	2
178	мы не	4	2
179	в развитии	2	2
180	такой же	2	2
181	в такой	1	2
182	в которых	3	2
183	которые в	1	2
184	для этого	1	2
185	на историческую	1	2
186	если и	1	2
187	в отношении	32	2
188	не менее	1	2
189	но они	1	2
190	что эта	1	2
191	западной европой	1	2
192	считает что	1	2
193	тогда когда	2	2
194	одна из	1	2
195	было у	1	2
196	не имеет	4	2
197	никогда не	3	2
198	на долю	3	2
199	можно усмотреть	1	2
200	в русском	1	2
201	на себе	1	2
202	исторического процесса	1	2
203	от того	1	2
204	начиная с	2	2
205	могут быть	2	2
206	к тому	8	2
207	но также	2	2
208	для того	6	2
209	утверждать что	2	2
210	как мы	5	2
211	то она	1	2
212	с ее	1	2
213	на основе	2	2
214	или в	2	2
215	во многом	2	2
216	нас к	2	2
217	внимание на	1	2
218	одного из	1	2
219	с одной	8	2
220	что его	1	2
221	и во	2	2
222	от них	3	2
223	и только	3	2
224	и других	2	2
225	смысле является	1	2
226	и ее	1	2
227	есть в	2	2
228	ряде случаев	1	2
229	то и	1	2
230	что если	2	2
231	во втором	2	2
232	при помощи	2	2
233	несомненно в	1	2
234	одно из	1	2
235	в новом	1	2
236	мы находим	1	2
237	вовсе не	6	2
238	заметить что	2	2
239	г д	1	2
240	или иной	4	2
241	в ряде	1	2
242	русской истории	1	2
243	что не	1	2
244	каком смысле	1	2
245	не на	4	2
246	что из	1	2
247	эту эпоху	1	2
248	ни на	3	2
249	вместе с	2	2
250	в одной	1	2
251	а у	1	2
252	в рамках	1	2
253	но не	5	2
254	не сразу	1	2
255	в последнем	1	2
256	в европейской	2	2
257	том смысле	1	2
258	этого слова	1	2
259	один из	1	2
260	в результате	3	2
261	же к	2	2
262	именно поэтому	1	2
263	все более	9	2
264	одной из	5	2
265	в свою	3	2
266	существует в	1	2
267	к сожалению	1	2
268	к этой	1	2
269	гораздо более	1	2
270	как известно	1	1
271	ту же	1	1
272	за пределы	1	1
273	также и	7	1
274	до него	1	1
275	и то	2	1
276	идет о	3	1
277	перед лицом	1	1
278	по преимуществу	2	1
279	движением и	1	1
280	и до	1	1
281	на западе	1	1
282	должна быть	2	1
283	для этих	2	1
284	из всех	3	1
285	есть не	2	1
286	смотреть на	1	1
287	например то	1	1
288	в последние	6	1
289	имеет шансов	1	1
290	многих случаях	1	1
291	с западной	1	1
292	вопрос о	4	1
293	на такие	1	1
294	ответить на	1	1
295	почти все	1	1
296	культуры из	2	1
297	на себя	3	1
298	в некотором	4	1
299	случае из	1	1
300	также о	1	1
301	между собой	2	1
302	которое дает	1	1
303	быть в	1	1
304	всего этого	1	1
305	истории в	1	1
306	то мы	1	1
307	и среди	1	1
308	или иначе	1	1
309	а тем	2	1
310	мы будем	1	1
311	и другие	1	1
312	к жизни	1	1
313	в сторону	2	1
314	тех же	1	1
315	очевидно что	3	1
316	такова напр	1	1
317	которые они	2	1
318	и небольшой	1	1
319	которые не	1	1
320	в истории	2	1
321	только ее	1	1
322	россии в	4	1
323	что как	1	1
324	в своем	14	1
325	что нет	1	1
326	однако не	1	1
327	и где	1	1
328	применении к	3	1
329	когда он	3	1
330	целый ряд	2	1
331	и как	2	1
332	не являются	1	1
333	в указанном	1	1
334	более или	1	1
335	с г	1	1
336	от этого	5	1
337	при таком	1	1
338	всего лишь	3	1
339	значения как	1	1
340	представляет собой	3	1
341	нужно как	1	1
342	европейской истории	2	1
343	большей части	2	1
344	близости к	1	1
345	думать что	8	1
346	в известном	3	1
347	но на	3	1
348	тем некоторые	1	1
349	в нем	1	1
350	в свет	1	1
351	не к	2	1
352	прочим и	2	1
353	средства которые	1	1
354	некоторая постоянно	1	1
355	несколько ниже	1	1
356	какой бы	2	1
357	находит себе	1	1
358	это один	1	1
359	как оно	2	1
360	тем с	1	1
361	а затем	1	1
362	же касается	1	1
363	поэзии и	1	1
364	к другу	1	1
365	г по	2	1
366	подходит к	2	1
367	которая как	1	1
368	отражение в	1	1
369	почти всю	1	1
370	в ином	1	1
371	рассказывает что	1	1
372	рядом с	1	1
373	то как	1	1
374	соответствии с	1	1
375	к которым	5	1
376	во внимание	1	1
377	простор для	1	1
378	мы видели	3	1
379	здесь можно	1	1
380	мы знаем	1	1
381	чем в	4	1
382	можно считать	3	1
383	и некоторые	3	1
384	и того	2	1
385	их на	1	1
386	или менее	1	1
387	рассматривать с	1	1
388	как по	1	1
389	бы на	1	1
390	как некую	1	1
391	на месте	2	1
392	сам и	1	1
393	если можно	1	1
394	то его	1	1
395	от себя	1	1
396	одном из	2	1
397	поэтому в	1	1
398	творчества и	1	1
399	друг другу	1	1
400	том же	1	1
401	отношении которого	1	1
402	с так	1	1
403	по себе	4	1
404	даже в	4	1
405	некоторых случаях	1	1
406	на рубеже	1	1
407	вплоть до	1	1
408	не о	1	1
409	принадлежат к	1	1
410	дело в	3	1
411	своего существования	1	1
412	можно судить	1	1
413	того чтобы	6	1
414	смысле что	1	1
415	он мог	1	1
416	области где	1	1
417	казалось бы	1	1
418	в разных	1	1
419	бы неправильно	1	1
420	в самой	1	1
421	того в	1	1
422	к определенному	1	1
423	по своей	2	1
424	такая же	1	1
425	со своим	1	1
426	е не	1	1
427	и со	3	1
428	свое собственное	1	1
429	уже о	1	1
430	когда мы	1	1
431	они обращены	1	1
432	той или	4	1
433	о периоде	1	1
434	и годом	1	1
435	также от	1	1
436	всегда в	1	1
437	для себя	1	1
