N	2gram	Potebnia_M_1	formyVre
1	и в	39	50
2	то есть	42	33
3	в этом	15	25
4	в нем	20	24
5	в греческом	1	24
6	и его	5	16
7	прежде всего	4	15
8	как мы	2	14
9	и не	18	14
10	в его	5	13
11	вовсе не	5	13
12	так и	13	12
13	человека и	1	11
14	то же	6	11
15	таким образом	13	11
16	может быть	27	11
17	и как	6	10
18	но в	9	10
19	времени и	2	10
20	с его	1	9
21	все эти	1	9
22	роль в	1	9
23	не только	21	9
24	в то	4	9
25	ничего не	1	9
26	же время	4	9
27	в том	26	9
28	в других	2	9
29	и т	6	8
30	того же	3	8
31	и на	1	8
32	в самом	3	8
33	ни в	1	8
34	т п	4	8
35	но и	20	8
36	и их	3	8
37	как и	9	8
38	жизни и	2	8
39	так сказать	2	7
40	для себя	3	7
41	и во	3	7
42	не было	4	7
43	например в	1	6
44	во всех	5	6
45	как в	10	6
46	с этим	7	6
47	все же	6	6
48	лишь в	1	6
49	это не	7	6
50	и того	2	6
51	в их	2	6
52	так как	21	6
53	с ее	2	6
54	в ее	1	6
55	связи с	3	6
56	в жизни	3	6
57	у него	1	6
58	то что	10	6
59	человеческой жизни	1	6
60	не может	22	6
61	так же	5	6
62	в результате	1	6
63	и все	3	6
64	отношению к	13	5
65	еще не	6	5
66	но не	8	5
67	не в	15	5
68	этот процесс	1	5
69	он не	3	5
70	жизни но	1	5
71	одного и	2	5
72	того чтобы	2	5
73	точки зрения	8	5
74	не могло	3	5
75	в разных	2	5
76	могут быть	9	5
77	но все	2	5
78	в образе	1	5
79	если бы	14	5
80	для того	3	5
81	в связи	1	5
82	что в	22	5
83	и другие	1	5
84	и то	3	4
85	и это	3	4
86	в ней	7	4
87	для других	1	4
88	в своем	3	4
89	то время	1	4
90	и пространства	1	4
91	но на	2	4
92	и с	3	4
93	в них	3	4
94	том что	16	4
95	в котором	1	4
96	не имеет	5	4
97	потому что	52	4
98	здесь не	1	4
99	понятно что	1	4
100	или как	1	4
101	и следовательно	2	4
102	только в	25	4
103	между этими	1	4
104	и проч	1	4
105	именно как	1	4
106	влияние на	2	4
107	нет ничего	2	4
108	своей жизни	1	4
109	все это	1	4
110	и для	5	4
111	отношения к	1	3
112	не имеют	5	3
113	а как	2	3
114	есть не	2	3
115	мы не	10	3
116	в сущности	2	3
117	в виду	2	3
118	значение и	2	3
119	по отношению	13	3
120	себе и	1	3
121	хотя и	3	3
122	в себе	13	3
123	его но	1	3
124	вследствие этого	1	3
125	все ее	2	3
126	при этом	6	3
127	одно и	1	3
128	его в	1	3
129	входит в	1	3
130	и других	4	3
131	с другими	1	3
132	здесь нет	1	3
133	для них	2	3
134	место и	1	3
135	и уже	1	3
136	между ними	1	3
137	в этих	7	3
138	в отношении	1	3
139	их в	1	3
140	этими двумя	1	3
141	друг друга	5	3
142	этом отношении	1	3
143	не могут	4	3
144	к тому	4	3
145	все его	1	3
146	нас в	1	3
147	что и	6	3
148	во всей	1	3
149	один из	1	3
150	мы видим	4	3
151	поэтому и	1	3
152	и ее	1	3
153	с одной	3	3
154	только на	3	3
155	же в	2	3
156	в начале	2	3
157	был бы	1	3
158	одно из	3	3
159	в одном	8	3
160	до сих	1	3
161	именно в	1	3
162	себя и	1	3
163	что не	10	3
164	только к	1	3
165	более того	1	3
166	с тем	5	3
167	быть только	5	3
168	а не	21	3
169	человек в	1	3
170	в одно	2	3
171	вместе с	8	3
172	и потому	5	3
173	да и	1	3
174	сих пор	1	3
175	или в	2	3
176	еще более	2	3
177	а в	5	3
178	сказать что	3	3
179	имеет место	2	3
180	они не	1	3
181	к этому	1	3
182	в таком	5	3
183	во всяком	3	3
184	же как	1	2
185	той же	3	2
186	их и	2	2
187	вопрос о	4	2
188	на себя	1	2
189	они были	1	2
190	на них	1	2
191	в различных	1	2
192	в чем	1	2
193	не без	1	2
194	природы и	1	2
195	как если	1	2
196	на другой	1	2
197	мы будем	2	2
198	а только	4	2
199	друг на	1	2
200	лежит вне	1	2
201	в истории	7	2
202	для всех	5	2
203	стороны и	2	2
204	с их	1	2
205	и нет	1	2
206	от этого	1	2
207	в целом	2	2
208	в нашем	1	2
209	как бы	6	2
210	как он	1	2
211	как оно	1	2
212	не как	1	2
213	уже не	2	2
214	его от	1	2
215	и по	6	2
216	но дело	2	2
217	что все	3	2
218	было бы	12	2
219	с необходимостью	1	2
220	бы совершенно	1	2
221	из нее	1	2
222	рядом с	1	2
223	были в	1	2
224	жизни то	1	2
225	слагаются в	2	2
226	на друга	1	2
227	чем в	2	2
228	мир в	1	2
229	для него	4	2
230	в своей	3	2
231	он должен	2	2
232	с точки	3	2
233	в которых	1	2
234	что имеет	2	2
235	но он	2	2
236	друг другу	3	2
237	том же	2	2
238	по себе	10	2
239	самого начала	3	2
240	тогда когда	9	2
241	дело в	2	2
242	никогда не	4	2
243	в самой	3	2
244	к ней	2	2
245	в другую	2	2
246	во всем	4	2
247	в каком	6	2
248	особых форм	1	2
249	все то	2	2
250	есть только	11	2
251	оно не	3	2
252	всего этого	1	2
253	с самого	3	2
254	если они	1	2
255	те же	1	2
256	и вообще	3	2
257	с ним	3	2
258	связь между	2	2
259	во втором	5	2
260	внешнее и	1	2
261	там где	4	2
262	не зная	2	2
263	того что	8	2
264	дает место	1	2
265	явления в	1	2
266	в стороне	4	2
267	есть в	2	2
268	уже в	1	2
269	если мы	3	2
270	друг за	1	2
271	никто не	3	2
272	мы находим	1	2
273	не для	1	2
274	с этими	1	2
275	к ним	2	2
276	тем что	9	2
277	чувствует себя	1	2
278	не были	2	2
279	и даже	4	2
280	и характер	1	2
281	с другой	7	2
282	далеко не	1	2
283	еще и	1	2
284	одной стороны	3	2
285	что мы	4	2
286	но оно	3	2
287	за другом	1	2
288	его на	2	2
289	их к	2	2
290	влияния на	1	2
291	в данном	1	2
292	в течение	2	2
