N	2gram	Tiupa_Narr_1	Myslijsy
1	потому что	1	46
2	то есть	19	34
3	в том	18	32
4	в слове	1	32
5	и в	19	30
6	может быть	25	28
7	то же	4	23
8	только в	4	21
9	не только	32	21
10	для нас	1	20
11	но и	23	19
12	того что	1	18
13	то что	11	18
14	том что	14	18
15	что в	3	17
16	не есть	3	17
17	в себе	8	16
18	по себе	5	16
19	и не	20	15
20	не в	14	15
21	а не	12	15
22	таким образом	1	14
23	что и	1	13
24	а в	11	12
25	точно так	2	12
26	если бы	1	12
27	этого слова	2	11
28	так и	9	11
29	что оно	1	11
30	есть уже	1	11
31	как и	7	10
32	в то	3	10
33	как в	7	10
34	в этом	17	10
35	в нем	4	9
36	мы не	1	9
37	для него	2	9
38	из этих	3	9
39	между тем	3	9
40	было бы	4	9
41	что не	4	8
42	от того	1	8
43	в самом	1	8
44	в ней	3	8
45	и то	1	8
46	что мы	2	8
47	вовсе не	1	7
48	тем самым	6	7
49	но не	5	7
50	есть не	1	7
51	к тому	7	7
52	как мы	3	7
53	тем что	3	7
54	слова в	1	7
55	с одной	7	7
56	с другой	8	7
57	не может	10	6
58	зависит от	2	6
59	те же	4	6
60	с ним	1	6
61	например в	2	6
62	не имеет	2	6
63	то и	1	6
64	там же	1	6
65	уже не	5	6
66	что он	6	6
67	из них	3	6
68	но это	1	6
69	еще не	7	5
70	же время	4	5
71	отношению к	6	5
72	крайней мере	1	5
73	не менее	3	5
74	независимо от	2	5
75	одно из	2	5
76	в действительности	1	5
77	к ней	1	5
78	по отношению	7	5
79	с другими	1	5
80	уже в	3	5
81	сказать что	4	5
82	очевидно что	1	5
83	тому как	2	5
84	в них	1	5
85	сам по	1	5
86	и тем	4	5
87	по крайней	1	5
88	не могут	1	5
89	и как	5	5
90	мысль о	1	5
91	к одному	1	5
92	в своем	2	5
93	и его	5	4
94	в один	1	4
95	не было	2	4
96	быть только	1	4
97	что это	3	4
98	бы не	2	4
99	в смысле	1	4
100	если не	4	4
101	оно не	2	4
102	или же	1	4
103	мы видели	1	4
104	в его	9	4
105	себе а	1	4
106	и при	1	4
107	и от	1	4
108	не все	5	4
109	один из	3	4
110	и потому	2	4
111	по поводу	1	4
112	другой стороны	4	4
113	себе не	2	4
114	в котором	1	4
115	что именно	2	4
116	себя и	2	4
117	он не	3	4
118	далеко не	5	4
119	тем более	2	4
120	столь же	3	4
121	есть нечто	1	4
122	все равно	1	4
123	и по	1	4
124	что все	1	3
125	образа и	1	3
126	образом и	1	3
127	не знает	1	3
128	связь с	1	3
129	говорить о	2	3
130	можно сказать	5	3
131	место в	1	3
132	и оно	1	3
133	или в	2	3
134	так же	2	3
135	не будет	3	3
136	для себя	1	3
137	никто не	1	3
138	и все	2	3
139	есть в	2	3
140	вслед за	4	3
141	человеческой жизни	1	3
142	в произведении	3	3
143	к нему	5	3
144	сих пор	1	3
145	из двух	3	3
146	здесь как	1	3
147	и вообще	1	3
148	при этом	9	3
149	к другой	2	3
150	дает нам	1	3
151	до сих	1	3
152	на него	3	3
153	его в	2	3
154	ответ на	1	3
155	время в	2	3
156	в начале	1	3
157	в таком	2	3
158	жизни не	1	3
159	в целом	1	3
160	оно имеет	1	3
161	в чем	1	3
162	в силу	4	3
163	не то	2	3
164	свою очередь	3	3
165	к содержанию	3	3
166	в первом	3	3
167	тем не	3	3
168	или менее	2	3
169	это было	1	3
170	и может	1	3
171	со стороны	9	3
172	более или	2	3
173	прежде всего	4	3
174	от нас	1	3
175	только потому	1	3
176	имеет для	1	3
177	действительности и	1	3
178	могут быть	3	3
179	не существует	3	3
180	именно в	6	3
181	само по	1	3
182	оно есть	1	3
183	есть к	1	3
184	и на	3	3
185	мы можем	1	3
186	одной стороны	7	3
187	нельзя сказать	1	3
188	здесь только	1	3
189	и есть	1	3
190	быть может	2	3
191	от всего	1	3
192	и тогда	1	3
193	как бы	4	3
194	в свою	3	3
195	что по	2	2
196	внутреннее единство	1	2
197	не могла	1	2
198	произведения не	1	2
199	между людьми	1	2
200	когда мы	2	2
201	на его	1	2
202	все же	7	2
203	в форме	5	2
204	бы быть	3	2
205	в свое	1	2
206	и наконец	1	2
207	входит в	1	2
208	тогда как	12	2
209	в собственном	2	2
210	о том	6	2
211	первом случае	2	2
212	с нею	1	2
213	не заключает	1	2
214	жизни и	3	2
215	точки зрения	10	2
216	от этого	1	2
217	что они	3	2
218	связи с	4	2
219	несмотря на	2	2
220	и тот	2	2
221	в какой	2	2
222	далее и	1	2
223	даже в	2	2
224	человек не	1	2
225	в системе	1	2
226	та же	2	2
227	от него	1	2
228	которое мы	1	2
229	не дает	1	2
230	того насколько	1	2
231	в их	1	2
232	если например	1	2
233	то или	3	2
234	и с	4	2
235	слова не	1	2
236	этого единства	1	2
237	одним словом	1	2
238	но все	4	2
239	таком случае	2	2
240	в которых	1	2
241	одной из	4	2
242	в ее	3	2
243	с этой	1	2
244	в субъекте	1	2
245	отношение к	2	2
246	иметь в	1	2
247	быть не	1	2
248	что ни	1	2
249	мысли о	1	2
250	но как	2	2
251	к своему	1	2
252	и даже	3	2
253	лучше сказать	1	2
254	не составляет	1	2
255	от одной	2	2
256	мысли и	1	2
257	так или	2	2
258	и после	2	2
259	а как	1	2
260	не видеть	1	2
261	языка и	2	2
262	это и	3	2
263	частью в	1	2
264	зрения и	2	2
265	есть то	1	2
266	перед нами	4	2
267	о любви	1	2
268	ни в	3	2
269	на чем	2	2
270	его жизни	2	2
271	самом деле	2	2
272	не столько	4	2
273	на мир	1	2
274	ему в	2	2
275	по своему	1	2
276	не всегда	2	2
277	мы уже	1	2
278	со многими	1	2
279	в этой	5	2
280	а второе	1	2
281	с таким	1	2
282	у него	4	2
283	что вообще	1	2
284	том же	1	2
285	так сказать	1	2
286	этом отношении	3	2
287	что как	1	2
288	его признаков	1	2
289	она не	2	2
290	но без	2	2
291	еще раз	1	2
292	их в	1	2
293	не как	2	2
294	в новом	1	2
295	когда в	1	2
296	что первое	1	2
297	сколько от	1	2
298	подобно тому	2	2
299	ему не	1	2
300	же в	4	2
301	этом последнем	1	2
302	собственно говоря	1	2
303	не подлежит	1	2
304	в некотором	1	2
305	в области	2	2
306	которая не	1	2
307	об этом	1	2
308	как о	1	2
309	на свою	1	2
310	он как	1	2
311	а с	3	2
312	в речи	1	2
313	которое не	1	2
314	том чтобы	1	2
315	есть акт	1	2
316	и до	2	2
317	все эти	2	1
318	не такое	1	1
319	точек зрения	2	1
320	одним из	2	1
321	на разных	1	1
322	и там	1	1
323	каждый из	2	1
324	может и	1	1
325	смысла но	1	1
326	о жизни	1	1
327	это может	1	1
328	и здесь	1	1
329	наш взгляд	1	1
330	исходя из	2	1
331	как кажется	2	1
332	сомнению и	1	1
333	взгляда на	1	1
334	данном случае	4	1
335	есть тоже	1	1
336	небо и	1	1
337	в поле	1	1
338	имеет уже	1	1
339	в прошлом	3	1
340	себя мир	1	1
341	но он	1	1
342	это то	1	1
343	искать в	1	1
344	думая о	1	1
345	жизни то	1	1
346	в двух	2	1
347	того же	1	1
348	и который	1	1
349	с не	1	1
350	лишь для	1	1
351	жизни с	1	1
352	если оно	1	1
353	с которым	1	1
354	отличается от	4	1
355	как символ	1	1
356	в область	2	1
357	нашу мысль	1	1
358	в настоящем	1	1
359	здесь не	4	1
360	и ее	2	1
361	это определение	1	1
362	и со	1	1
363	читателя или	4	1
364	человека с	1	1
365	обращается к	1	1
366	должна быть	2	1
367	а то	1	1
368	смысл для	1	1
369	начиная с	1	1
370	на ее	1	1
371	вследствие чего	2	1
372	к ее	1	1
373	в самую	2	1
374	отличная от	1	1
375	свое время	1	1
376	намек на	1	1
377	было в	2	1
378	всех кто	1	1
379	которого он	2	1
380	его и	1	1
381	события без	2	1
382	это дает	1	1
383	человек и	1	1
384	если это	1	1
385	друг от	1	1
386	было для	1	1
387	он может	1	1
388	в понимании	1	1
389	как зерно	1	1
390	если в	3	1
391	во всех	1	1
392	но она	1	1
393	одной только	1	1
394	только то	1	1
395	таким же	1	1
396	от друга	1	1
397	и читатель	1	1
398	не на	2	1
399	на ту	1	1
400	чего не	1	1
401	самим слушающим	1	1
402	и было	1	1
403	от одного	2	1
404	и он	3	1
405	не ограничивается	1	1
406	мать и	1	1
407	то в	6	1
408	а над	1	1
409	как того	1	1
410	состояние не	1	1
411	по его	1	1
412	столько же	1	1
413	между ними	2	1
414	к самому	2	1
415	оно объединяет	1	1
416	ко второй	1	1
417	или даже	2	1
418	он сам	2	1
419	совсем не	1	1
420	лишь изредка	1	1
421	было без	2	1
422	сводится к	3	1
423	отношения между	1	1
424	жизни в	3	1
425	но стоит	1	1
426	его как	2	1
427	все то	2	1
428	понятия но	1	1
429	не знают	1	1
430	мир не	1	1
431	один и	1	1
432	первый взгляд	2	1
433	по слову	1	1
434	и сама	1	1
435	самой по	1	1
436	здесь мы	1	1
437	из жизни	1	1
