N	3gram	Losev_Dial_2	Poddanst
1	в то же	3	7
2	то же время	4	7
3	не только в	2	4
4	в том что	6	4
5	с точки зрения	8	3
6	сами по себе	3	3
7	с одной стороны	1	3
8	одной стороны и	1	2
9	и не только	5	2
10	и в то	1	2
11	но и в	1	2
12	заключается в том	1	2
13	том что в	1	1
14	– все это	1	1
15	видим в нем	1	1
16	да и не	1	1
17	что это значит?	1	1
18	более или менее	2	1
19	т д не	2	1
20	есть та или	2	1
21	в этом смысле	1	1
22	есть прежде всего	1	1
23	и в этом	1	1
24	и не может	1	1
25	хотя бы это	3	1
26	с тем чтобы	1	1
27	за то что	1	1
28	тех пор пока	1	1
29	бы она ни	1	1
30	вместе с тем	1	1
31	и пр в	1	1
32	и то что	1	1
33	и в частности	2	1
34	к науке и	1	1
35	так же как	1	1
36	в одно и	1	1
37	которые были бы	1	1
38	по сравнению с	1	1
39	оно есть и	1	1
40	не в том	1	1
41	мы отнюдь не	1	1
42	во всяком случае	2	1
43	с другой стороны	4	1
44	в каком смысле	1	1
45	д не только	1	1
46	не может быть	3	1
47	сливаются в одно	1	1
48	в некотором смысле	1	1
49	в жизни она	1	1
50	до тех пор	1	1
51	само по себе	2	1
52	та или иная	2	1
53	тем и другим	1	1
54	вопрос об отношении	1	1
55	друг с другом	1	1
56	ни на какие	1	1
57	и т д	15	1
58	в отдельности и	1	1
