N	3gram	Tiupa_Vved_1	Morfolog
1	в этих случаях	2	13
2	в этом случае	1	9
3	в связи с	1	8
4	не может быть	3	8
5	подобно тому как	2	5
6	по отношению к	7	4
7	мы увидим ниже	1	4
8	с другой стороны	1	4
9	тем не менее	3	4
10	как мы увидим	1	3
11	в первом случае	1	3
12	на самом деле	3	3
13	как и в	2	3
14	следует заметить что	1	2
15	состоит в том	2	2
16	более или менее	2	2
17	начинается с того	1	2
18	в настоящее время	1	2
19	с одной стороны	5	2
20	на первый взгляд	1	2
21	друг на друга	1	2
22	которое может быть	1	2
23	с того что	1	2
24	в том что	3	2
25	не столько по	1	1
26	одна из них	1	1
27	есть на самом	1	1
28	хотя и не	1	1
29	противном случае он	1	1
30	его реакции на	1	1
31	о том как	1	1
32	что иное как	1	1
33	как бы в	1	1
34	в таком случае	1	1
35	но это не	1	1
36	можно было бы	2	1
37	в противном случае	1	1
38	в том или	1	1
39	в данном случае	6	1
40	не входит в	1	1
41	во втором случае	1	1
42	то что он	1	1
43	будет зависеть от	1	1
44	во всяком случае	1	1
45	из них не	1	1
46	а на самом	1	1
47	вместо того чтобы	1	1
48	но если бы	1	1
49	то же время	3	1
50	о том что	4	1
51	если бы мы	1	1
52	ни одна из	1	1
53	далее мы видим	1	1
54	той или иной	2	1
55	можно сказать что	1	1
56	на то что	1	1
57	в то же	4	1
58	может быть названа	1	1
59	не что иное	1	1
60	но в этом	1	1
61	здесь как и	1	1
62	могло бы быть	1	1
