N	3gram	Bakhtin_fo_1	Tvorches
1	в то же	6	13
2	то же время	9	12
3	в том что	2	6
4	о том что	1	5
5	но в то	1	4
6	преступление и наказание	1	4
7	дело в том	2	3
8	и все же	1	3
9	в соответствии с	2	3
10	с самого начала	2	3
11	том что в	1	2
12	то есть не	2	2
13	и т п	8	2
14	чувства времени в	1	2
15	в данном случае	1	2
16	не только в	2	2
17	же время он	1	2
18	на протяжении всего	1	2
19	и в то	5	2
20	в этом романе	2	2
21	человека и его	7	2
22	человек был бы	1	1
23	да и в	1	1
24	но она не	1	1
25	прежде всего они	1	1
26	потому что не	1	1
27	прежде всего на	1	1
28	и того же	5	1
29	и как раз	6	1
30	равно как и	2	1
31	имеем в виду	1	1
32	протяжении всего романа	1	1
33	в том же	1	1
34	дело не только	1	1
35	пространства и времени	3	1
36	время в его	1	1
37	по отношению к	3	1
38	до сих пор	3	1
39	в мировой литературе	2	1
40	и в других	4	1
41	сами по себе	1	1
42	в отличие от	2	1
43	друг на друга	2	1
44	но все это	1	1
45	не могут быть	1	1
46	с самим собой	2	1
47	во всей ее	1	1
48	вместе с тем	2	1
49	все более и	1	1
50	на этой почве	1	1
51	и со всеми	1	1
52	чем обычно предполагают	1	1
53	в ту же	1	1
54	все же и	1	1
55	могут быть названы	1	1
56	что происходило в	1	1
57	с одной стороны	2	1
58	в один ряд	1	1
59	со всеми его	2	1
60	в русском переводе	1	1
61	и как бы	1	1
62	в этот момент	1	1
63	в связи с	5	1
64	мы уже говорили	3	1
65	и братья карамазовы	1	1
66	бросается в глаза	1	1
67	в основном вне	1	1
68	имел в виду	1	1
69	в свою очередь	1	1
70	и в самом	1	1
71	характер времени в	1	1
72	более и более	1	1
73	с большой четкостью	1	1
74	в романе мы	1	1
75	мы имеем в	1	1
76	один из самых	1	1
77	одного и того	5	1
78	бы он ни	1	1
79	по преимуществу в	1	1
80	и не имеют	1	1
81	таким образом и	1	1
82	героя и героини	5	1
83	как и в	2	1
84	к тому же	2	1
85	в них совершенно	1	1
86	своих поступков и	1	1
