N	2gram	Bakhtin_Pr_1	Vvedenie
1	и т	14	42
2	т д	1	36
3	и в	38	32
4	в том	8	31
5	в этом	15	30
6	том что	3	26
7	может быть	26	26
8	не только	9	22
9	для того	2	21
10	того чтобы	2	20
11	таким образом	10	19
12	также и	3	18
13	то что	8	16
14	не может	27	14
15	в самом	7	13
16	в нем	15	13
17	о том	4	13
18	в их	10	12
19	в общем	1	12
20	в его	43	12
21	того что	2	12
22	только в	13	12
23	и не	42	12
24	как мы	7	11
25	в ее	4	11
26	и именно	2	11
27	ясно что	3	11
28	в данном	4	11
29	языка и	1	10
30	что в	7	10
31	то же	5	9
32	в истории	2	9
33	и как	8	9
34	но в	4	9
35	по себе	1	9
36	между тем	7	9
37	в той	1	9
38	этом смысле	3	9
39	а только	2	8
40	это не	5	8
41	не в	7	8
42	тем не	3	8
43	не менее	4	8
44	с другой	7	8
45	именно в	1	8
46	самом деле	6	7
47	вопрос о	1	7
48	но не	12	7
49	все же	6	7
50	к выводу	1	7
51	было бы	8	7
52	точки зрения	8	7
53	уже и	1	7
54	в применении	3	7
55	можно было	4	7
56	выводу что	1	7
57	дело с	6	7
58	как нечто	3	7
59	прежде всего	13	7
60	смысле этого	1	7
61	о котором	2	7
62	только как	6	7
63	смысле слова	2	6
64	и это	3	6
65	как он	1	6
66	широком смысле	1	6
67	его в	9	6
68	с тем	1	6
69	как и	7	6
70	вовсе не	2	6
71	в то	4	6
72	же время	3	6
73	тем что	2	6
74	не могут	2	6
75	этот вопрос	1	6
76	и его	16	6
77	и даже	3	6
78	до сих	1	6
79	но и	9	6
80	применении к	3	6
81	сих пор	1	6
82	все это	3	6
83	хотя бы	4	6
84	культуры как	1	6
85	мере в	1	5
86	а как	3	5
87	в целом	3	5
88	иное как	1	5
89	так например	1	5
90	на почве	3	5
91	и тем	3	5
92	данном случае	4	5
93	в них	5	5
94	но если	1	5
95	в которых	1	5
96	сказать что	4	5
97	могут быть	5	5
98	имеет дело	9	5
99	как например	1	5
100	не есть	6	5
101	т п	13	5
102	что не	4	5
103	на этот	1	5
104	а не	5	5
105	по своему	1	5
106	она есть	1	5
107	как бы	22	5
108	другой стороны	4	5
109	есть и	1	5
