N	3gram	Berdyaev_N_1	Russkaja
1	в том что	1	7
2	во всяком случае	1	6
3	до сих пор	1	5
4	в том случае	1	4
5	не может быть	4	4
6	том случае если	1	3
7	вместе с тем	2	3
8	можно было бы	1	3
9	и не может	1	3
10	к вопросу о	1	3
11	в том и	2	2
12	в зависимость от	1	2
13	о том чтобы	1	2
14	но она не	1	2
15	в самом себе	1	2
16	и вместе с	1	2
17	лишь в том	1	2
18	о том что	1	2
19	ни одна из	2	2
20	в большинстве случаев	1	2
21	она не может	2	2
22	и того же	1	1
23	никогда не было	2	1
24	и в жизни	1	1
25	они считают себя	1	1
26	в том числе	1	1
27	он не может	2	1
28	культуры в котором	1	1
29	что он может	1	1
30	но для этого	1	1
31	том числе и	1	1
32	от того чтобы	1	1
33	заключает в себе	1	1
34	отказаться от того	1	1
35	в значительной степени	1	1
36	в советской россии	1	1
37	в том чтобы	1	1
38	еще не было	1	1
39	и должно быть	2	1
40	россия никогда не	1	1
41	к одному из	1	1
42	это конечно не	1	1
43	а во имя	1	1
44	так же как	2	1
45	приводит к отрицанию	1	1
46	есть по существу	1	1
47	это и есть	1	1
48	и для чего	1	1
49	то это есть	1	1
50	вопрос о том	2	1
51	одного и того	1	1
52	не может когда	1	1
53	во имя своих	1	1
54	и вырабатывает свою	1	1
55	быть не может	1	1
56	не во имя	4	1
