N	3gram	Vinokur_Ku_2	Analitik
1	о том что	1	6
2	в том что	10	6
3	в данном случае	1	5
4	состоит в том	1	4
5	с одной стороны	1	4
6	в этом случае	2	4
7	к тому же	1	4
8	в этом отношении	3	3
9	по крайней мере	6	3
10	того или иного	2	3
11	тем не менее	5	3
12	как и в	1	3
13	в этом смысле	5	2
14	в соответствии с	2	2
15	с точки зрения	8	2
16	в то же	3	2
17	можно было бы	9	2
18	том или ином	1	2
19	и то что	1	2
20	в значительной степени	1	2
21	едва ли не	1	2
22	не только в	4	2
23	в отличие от	2	2
24	по природе своей	1	2
25	в том или	1	2
26	с другой стороны	7	2
27	т е к	1	2
28	то же время	3	2
29	и в самом	2	2
30	в конечном счете	2	2
31	на то что	2	2
32	тех или иных	1	2
33	что иное как	1	1
34	можно сказать что	2	1
35	приводит к тому	1	1
36	в данный момент	1	1
37	а не с	1	1
38	как раз не	1	1
39	и что же?	1	1
40	хотя бы и	2	1
41	сами по себе	1	1
42	на этот вопрос	2	1
43	что же до	1	1
44	в противном случае	1	1
45	несмотря на то	2	1
46	с этой точки	2	1
47	бы и в	1	1
48	в таких случаях	2	1
49	и все его	1	1
50	в известном смысле	1	1
51	ровным счетом ничего	1	1
52	до некоторой степени	2	1
53	это имеет место	1	1
54	так или иначе	2	1
55	это своего рода	1	1
56	в свою очередь	2	1
57	в связи с	3	1
58	прежде всего в	1	1
59	а своего рода	1	1
60	в первую очередь	1	1
61	в свое время	2	1
62	этой точки зрения	2	1
63	только то что	1	1
64	есть не что	1	1
65	не может быть	4	1
66	ответ на этот	1	1
67	заключается в том	1	1
68	в поэзии где	1	1
69	но и для	1	1
70	не что иное	1	1
71	в самом деле	7	1
72	речь идет о	1	1
73	в том смысле	1	1
74	в силу своей	1	1
75	к тому что	1	1
76	сама по себе	1	1
77	дело не в	2	1
78	как это имеет	1	1
79	точно так же	3	1
80	потому что я	1	1
81	не только для	1	1
