N	3gram	Medvedev_V_1	Freidism
1	по отношению к	7	8
2	во всяком случае	1	7
3	не может быть	8	7
4	в самом деле	1	6
5	мы знаем что	2	4
6	в зависимости от	5	4
7	то же время	5	4
8	в то же	5	4
9	в данном случае	1	4
10	можно сказать что	4	4
11	фрейд и его	1	4
12	в последнем счете	1	4
13	если бы он	1	3
14	для того чтобы	3	3
15	в таком случае	1	3
16	на этот вопрос	1	3
17	в свою очередь	1	3
18	в конечном счете	5	3
19	а потому и	1	2
20	то же самое	1	2
21	и по отношению	1	2
22	то или иное	1	2
23	до сих пор	1	2
24	не отличается от	1	2
25	и не может	2	2
26	это вовсе не	1	2
27	может быть и	1	2
28	но в то	1	2
29	не могут быть	1	2
30	все то что	1	2
31	в этом отношении	13	2
32	это и есть	3	2
33	выйти за пределы	1	2
34	с одной стороны	2	2
35	в конце концов	2	2
36	мы видели что	3	2
37	и может быть	1	1
38	все эти высказывания	1	1
39	нет и не	1	1
40	бы он был	1	1
41	только в пределах	1	1
42	говорит об этом	1	1
43	все зависит от	1	1
44	таково в основных	1	1
45	по меньшей мере	1	1
46	равно как и	4	1
47	от всех других	1	1
48	но даже и	1	1
49	у них не	1	1
50	протекает в пределах	1	1
51	как и все	1	1
52	хотя бы и	5	1
53	того что мы	1	1
54	каждого человека в	1	1
55	что все эти	1	1
56	произведения во всех	1	1
57	не было бы	4	1
58	только то что	2	1
59	во всех этих	1	1
60	по аналогии с	1	1
61	в каком направлении	1	1
62	вместе с этим	1	1
63	со всех сторон	1	1
64	по крайней мере	2	1
65	во время сна	1	1
66	ни в какой	1	1
67	из этих объективных	1	1
68	даже и не	1	1
69	его таким образом	1	1
70	а как бы	1	1
71	мы полагаем что	1	1
72	не чем иным	1	1
73	таким образом и	1	1
74	в несколько иной	1	1
75	чтобы ответить на	1	1
76	но она не	1	1
77	может обойтись без	1	1
78	это как мы	1	1
79	быть и речи	1	1
80	как будто бы	1	1
81	по сравнению с	1	1
82	жизнь в его	1	1
83	и без того	1	1
84	содержания и формы	1	1
85	право говорить о	1	1
86	из них не	2	1
87	ответ на этот	1	1
88	бросается в глаза	1	1
89	можно определить как	2	1
90	сих пор не	1	1
91	таким образом в	2	1
92	чем иным как	1	1
93	от того что	2	1
94	имеем в виду	1	1
95	в то время	1	1
96	как называет ее	1	1
97	о том что	3	1
98	на язык сознания	1	1
99	ничего общего с	1	1
100	не только не	2	1
101	той или иной	1	1
102	сознания в формы	1	1
103	не может обойтись	1	1
104	в этом смысле	1	1
105	них не было	1	1
106	для самого себя	1	1
107	и т д	14	1
108	во всех его	2	1
109	в том что	5	1
110	все это только	2	1
111	может быть даже	1	1
112	в основных чертах	3	1
113	его от других	1	1
