N	3gram	Tiupa_Disk_1	Tvorches
1	в то же	3	13
2	то же время	4	12
3	в том что	13	6
4	о том что	5	5
5	в конечном счете	1	4
6	дело в том	1	3
7	в соответствии с	2	3
8	с самого начала	1	3
9	по сути дела	2	3
10	том что в	2	2
11	на самом деле	1	2
12	в одной из	2	2
13	при этом он	1	2
14	в наше время	2	2
15	по крайней мере	2	2
16	в данном случае	2	2
17	не только в	2	2
18	можно сказать что	2	2
19	и в то	1	2
20	там же с	1	2
21	тем не менее	1	2
22	в котором нет	1	1
23	и делает это	1	1
24	и того же	2	1
25	то же самое	2	1
26	что же касается	2	1
27	в этом пункте	1	1
28	по отношению к	9	1
29	до сих пор	1	1
30	хотя бы и	1	1
31	сами по себе	2	1
32	что он не	1	1
33	в отличие от	4	1
34	в первую очередь	1	1
35	в народе с	1	1
36	только то что	1	1
37	о том будто	1	1
38	к мысли о	1	1
39	вместе с тем	1	1
40	и далеко не	1	1
41	же время они	1	1
42	ту или иную	1	1
43	это прежде всего	3	1
44	с одной стороны	9	1
45	в xix веке	1	1
46	представляет собой не	1	1
47	но при этом	3	1
48	в известном смысле	1	1
49	и как бы	3	1
50	в связи с	1	1
51	составляет один из	1	1
52	бахтина о том	1	1
53	не заметить что	1	1
54	так и от	1	1
55	а нередко и	1	1
56	за самим собой	1	1
57	то есть является	1	1
58	заключается в том	1	1
59	в свою очередь	3	1
60	он не может	1	1
61	с другой стороны	3	1
62	и вследствие этого	1	1
63	одного и того	2	1
64	общения с другой	1	1
65	предлагаемая вниманию читателя	1	1
66	приходит на смену	1	1
67	как и в	1	1
68	особое внимание на	1	1
69	дело не в	1	1
70	к тому же	4	1
