N	3gram	Trubetskoy_1	VerxiiNi
1	вместе с тем	3	8
2	с точки зрения	9	6
3	во всяком случае	6	6
4	более или менее	4	5
5	в том числе	1	5
6	до сих пор	5	5
7	по крайней мере	1	5
8	друг с другом	14	5
9	для того чтобы	6	5
10	о том что	2	4
11	с тем чтобы	3	4
12	том числе и	1	4
13	и вместе с	2	4
14	но все же	1	4
15	к тому же	1	4
16	точно так же	2	3
17	в конце концов	3	3
18	так же как	1	3
19	всяком случае не	1	3
20	в связи с	1	3
21	и таким образом	1	3
22	тем не менее	1	3
23	в том что	7	3
24	в том виде	1	2
25	то же самое	1	2
26	потому что и	1	2
27	в этом отношении	1	2
28	заключает в себе	1	2
29	в значительной мере	2	2
30	не только для	1	2
31	как бы то	1	2
32	то ни было	1	2
33	бы то ни	4	2
34	то же время	10	2
35	но и для	1	2
36	с самого начала	1	2
37	той или иной	3	2
38	на то что	4	2
39	в то же	10	2
40	и в этом	1	2
41	в этом духе	1	2
42	и того же	1	1
43	и все же	1	1
44	а между тем	5	1
45	не может не	3	1
46	всем существом своим	1	1
47	из предыдущего явствует	1	1
48	к богу не	1	1
49	в силу этого	1	1
50	состоит в том	1	1
51	между нами и	1	1
52	по отношению к	1	1
53	с другом не	1	1
54	одной из этих	1	1
55	в самом деле	1	1
56	русской культуры в	1	1
57	в настоящее время	2	1
58	одного и того	1	1
59	важно то что	1	1
60	представителя данного народа	2	1
61	может смотреть на	1	1
62	а следовательно и	2	1
63	до известной степени	1	1
64	принципиально отличается от	1	1
65	для обеих сторон	2	1
66	но для этого	1	1
67	совершенно ясно что	1	1
68	это как не	1	1
69	совершенно самостоятельные и	1	1
70	лишь постольку поскольку	1	1
71	он сам уже	1	1
72	с внешней стороны	1	1
73	в данном случае	3	1
74	но в то	1	1
75	и смотреть на	2	1
76	любви к богу	1	1
77	как видно из	1	1
78	тот факт что	2	1
79	смысле этого слова	1	1
80	но при этом	1	1
81	данного национального целого	1	1
82	и в индии	1	1
83	и при жизни	1	1
84	указывает на то	1	1
85	таким образом при	1	1
86	и на то	1	1
87	в этом направлении	2	1
88	этот выход из	1	1
89	не только от	1	1
90	друг к другу	1	1
91	выполнению этой задачи	1	1
92	что касается до	1	1
93	русского гения в	1	1
94	речь идет о	1	1
95	гения в сокровищницу	1	1
96	а в том	1	1
97	только то что	1	1
98	к богу и	1	1
99	не может быть	4	1
100	но по существу	1	1
101	из которых каждый	2	1
102	произведя коренной переворот	1	1
103	к чему не	1	1
104	при ближайшем рассмотрении	1	1
105	предыдущего явствует что	1	1
106	в свою очередь	1	1
107	это и есть	1	1
108	ни к чему	2	1
109	но и от	1	1
110	несмотря на все	1	1
111	ввести в заблуждение	1	1
112	стать во главе	1	1
113	в этой роли	1	1
114	при таких условиях	3	1
115	в своем целом	1	1
116	что это как	1	1
117	и только в	1	1
118	что оно является	1	1
