N	3gram	Tiupa_Hudo_1	VelikijI
1	за то что	1	3
2	в первый раз	1	3
3	то что мы	1	3
4	к тому что	4	3
5	а между тем	1	2
6	то что я	1	2
7	том что он	1	2
8	которым можно было	1	2
9	вместо того чтобы	2	2
10	это еще не	1	2
11	никогда никогда не	1	2
12	в том что	6	2
13	и т д	3	2
14	но все же	1	1
15	и то и	1	1
16	то и другое	2	1
17	которого они в	1	1
18	того что он	1	1
19	в конце концов	1	1
20	потому что оно	1	1
21	и в этом	1	1
22	и не случайно	1	1
23	и никогда никогда	1	1
24	в этих словах	2	1
25	как бы в	1	1
26	так и в	1	1
27	у него то	1	1
28	сознания так и	1	1
29	и что в	1	1
30	как и в	3	1
31	него то что	1	1
