N	2gram	Medvedev_S_1	Myshleni
1	и в	3	28
2	в том	5	28
3	то что	2	28
4	в этом	5	27
5	том что	2	19
6	не может	1	19
7	таким образом	2	18
8	что он	1	18
9	только в	2	18
10	в силу	1	17
11	что в	2	17
12	не только	3	16
13	может быть	2	13
14	с помощью	1	13
15	тому что	1	11
16	и не	1	11
17	как бы	2	11
18	но не	1	10
19	по отношению	2	10
20	развития и	1	10
21	но и	2	10
22	отношению к	2	10
23	было бы	2	9
24	в процессе	1	9
25	между собой	1	9
26	никогда не	1	8
27	тем что	1	8
28	еще не	2	8
29	то же	2	7
30	в сущности	1	7
31	между ними	1	7
32	мы не	1	6
33	в чем	1	6
34	и как	1	6
35	как и	1	6
36	когда мы	1	6
37	же самое	1	6
38	так и	1	6
39	и что	2	6
40	его в	1	6
41	в области	1	6
42	в то	1	6
43	в этой	1	5
44	что все	1	5
45	это не	1	5
46	только тогда	1	4
47	не в	3	4
48	мысли в	1	4
49	что на	1	4
50	связь между	1	4
51	именно в	1	4
52	на этот	1	4
53	в частности	2	4
54	они не	1	4
55	это и	2	3
56	очевидно что	2	3
57	и по	1	3
58	в каждом	1	3
59	в них	1	3
60	иначе говоря	1	3
61	по себе	1	3
62	связи с	1	3
63	только то	1	3
64	те же	1	3
65	образом в	1	3
66	в его	3	3
67	и только	3	3
68	один из	1	3
69	и его	1	3
70	представить себе	1	3
71	зависит от	1	3
72	но как	1	3
73	в целом	1	3
74	бы в	1	3
75	мы должны	1	3
76	прежде всего	1	2
77	все же	1	2
78	и наконец	1	2
79	все эти	1	2
80	по самому	1	2
81	могут оказаться	1	2
82	образования понятий	1	2
83	остается в	1	2
84	этой области	1	2
85	в этих	1	2
86	в своей	1	2
87	в котором	1	2
88	и более	1	2
89	но только	1	2
90	перейти к	1	2
91	том как	1	2
92	для этого	1	2
93	с ним	1	2
94	не из	1	2
95	обобщения могут	1	2
96	в конце	2	2
97	у него	1	2
98	с другой	1	2
99	к которому	2	2
100	на ней	1	2
101	в любой	1	2
102	в связи	1	2
103	в данном	1	2
104	по существу	2	2
105	какие же	1	2
106	как только	2	2
107	все это	7	2
108	для нас	3	2
109	а в	1	2
110	понимать что	1	2
111	же по	1	1
112	что эти	1	1
113	не способен	1	1
114	первый план	1	1
115	друг от	1	1
116	то положительное	1	1
117	за пределы	2	1
118	отнюдь не	1	1
119	перед нами	1	1
120	кто не	1	1
121	может означать	1	1
122	тем же	1	1
123	психологии и	1	1
124	как то	1	1
125	что это	1	1
126	что она	1	1
127	его исследования	1	1
128	он ни	1	1
129	но именно	1	1
130	новое и	1	1
131	бы они	1	1
132	на все	1	1
133	или даже	2	1
134	этих вопросов	1	1
135	далеко не	2	1
136	том и	1	1
137	даже в	1	1
138	к изучению	1	1
139	дело не	2	1
140	в наше	1	1
141	факта что	1	1
142	конечно только	1	1
143	и заключается	2	1
144	опираясь на	1	1
145	и о	1	1
146	от друга	1	1
147	зависимость и	1	1
148	самому существу	1	1
149	целом все	1	1
150	против этого	1	1
151	от общих	1	1
152	о том	1	1
153	настоящее время	1	1
154	никак не	1	1
155	может не	1	1
156	ни на	1	1
157	на отдельные	1	1
158	между тем	1	1
159	эти два	1	1
160	обобщения которые	1	1
161	в лучшем	1	1
162	и самые	1	1
163	с одной	1	1
164	именно на	1	1
165	конечно не	1	1
166	научного исследования	1	1
167	в виде	1	1
168	означает только	1	1
169	вовсе не	1	1
170	в систему	1	1
171	это по	1	1
172	нужно было	2	1
173	значении слова	1	1
174	как же	3	1
175	еще и	1	1
176	наконец в	1	1
177	а с	1	1
178	и затем	1	1
179	только как	2	1
180	можно будет	1	1
181	одной стороны	1	1
182	ли не	1	1
183	эти вопросы	1	1
184	благодаря этому	1	1
185	лучшем случае	1	1
186	часть нашей	1	1
187	развития развитие	1	1
188	в результате	2	1
189	это как	1	1
190	в настоящее	1	1
191	на первый	1	1
192	бы он	1	1
193	тем более	2	1
194	главным образом	2	1
195	конце концов	2	1
196	его работах	1	1
197	из тех	1	1
198	в заключение	1	1
