N	3gram	Tiupa_Teor_1	FransuaR
1	в следующей главе	1	6
2	о том что	1	5
3	в то же	5	5
4	то же время	5	5
5	с одной стороны	2	4
6	все то что	1	4
7	в большинстве случаев	1	4
8	в первом случае	1	3
9	в том что	8	2
10	никак не может	1	2
11	как один из	1	2
12	начало и конец	1	2
13	с точки зрения	3	2
14	в данном случае	5	2
15	с другой стороны	5	2
16	заключается в том	1	1
17	и любые другие	1	1
18	или иной мере	1	1
19	во внешнем мире	1	1
20	том что в	1	1
21	в узком и	1	1
22	пространственных и временных	1	1
23	только в искусстве	1	1
24	из того что	1	1
25	но в то	1	1
26	можно сказать что	2	1
27	в литературе в	1	1
28	для того чтобы	1	1
29	а с другой	2	1
30	человека и его	1	1
31	не совпадает с	1	1
32	в целом ряде	1	1
33	в той или	1	1
34	до известной степени	2	1
35	как бы в	1	1
36	по отношению к	4	1
37	и в этой	1	1
38	в значительной степени	1	1
39	более или менее	2	1
40	в последней главе	1	1
41	нового времени в	1	1
42	в основе своей	1	1
43	одного и того	3	1
44	той или иной	1	1
45	существенное значение в	1	1
46	только то что	1	1
47	в себе самом	1	1
48	в связи с	1	1
49	в одной из	1	1
50	именно в этом	1	1
51	узком и специфическом	1	1
52	со всех сторон	1	1
53	та или иная	1	1
54	а в ее	1	1
55	дело в том	1	1
56	является одним из	1	1
57	есть как бы	1	1
58	бы в точке	1	1
59	между собой и	1	1
60	и того же	3	1
61	как раз в	1	1
62	в то время	1	1
63	не может быть	4	1
