N	4gram	Bakhtin_sl_2	Formalny
1	в то же время	4	7
2	и не может быть	1	3
3	и т п в	2	2
4	и в то же	1	2
5	во всех областях идеологического	1	2
6	всех областях идеологического творчества	1	2
7	не могут выйти за	1	1
8	оно не может быть	1	1
9	в том числе и	1	1
10	может иметь место в	1	1
11	нем и в то	1	1
12	или иной идеологической сферой	1	1
13	той или иной идеологической	1	1
14	могут выйти за пределы	1	1
15	не значит конечно что	1	1
16	в значительной степени определяется	1	1
17	это не значит конечно	1	1
18	с той или иной	1	1
19	все более и более	1	1
20	в зависимости от характера	2	1
21	как не может быть	1	1
