N	3gram	Vygotskiy__4	VeschiIm
1	не может быть	1	18
2	это значит что	2	17
3	бы то ни	1	9
4	то ни было	1	9
5	что иное как	1	8
6	не что иное	1	8
7	в том что	31	6
8	на то что	4	6
9	одно и то	6	5
10	содержит в себе	2	5
11	и то же	6	5
12	в свою очередь	2	5
13	тем не менее	1	5
14	с точки зрения	11	4
15	и то что	4	4
16	не только в	1	4
17	в самом деле	6	3
18	подобно тому как	2	3
19	и не только	2	3
20	в собственном смысле	7	3
21	можно было бы	5	3
22	то и другое	1	3
23	вместе с тем	3	3
24	если мы возьмем	1	3
25	указывает на то	1	3
26	все же не	1	3
27	только то что	1	3
28	само по себе	1	3
29	не может не	2	2
30	можно сказать что	1	2
31	этой точки зрения	4	2
32	но даже и	1	2
33	о том как	1	2
34	и относится к	1	2
35	с этой точки	4	2
36	и в частности	1	2
37	в данном случае	2	2
38	то же название	1	2
39	не только к	1	2
40	именно тем что	1	2
41	и таким образом	1	2
42	что оно есть	1	2
43	заключается в том	14	2
44	и даже не	1	2
45	к тому что	1	2
46	таким образом что	4	1
47	и того же	5	1
48	и тому же	4	1
49	все эти признаки	1	1
50	мы видим таким	4	1
51	относится к тому	1	1
52	оно может быть	2	1
53	далеко не все	1	1
54	как и во	1	1
55	когда речь идет	1	1
56	в этом смысле	8	1
57	есть прежде всего	1	1
58	пониманию и уразумению	1	1
59	том что он	1	1
60	в этом случае	3	1
61	одной стороны и	2	1
62	том что это	1	1
63	таким образом получается	2	1
64	на первый план	4	1
65	что в свою	1	1
66	что с точки	1	1
67	до сих пор	1	1
68	и во всех	1	1
69	в зависимости от	1	1
70	и со стороны	1	1
71	в той же	1	1
72	что он не	1	1
73	не имеет никакого	1	1
74	в себе и	3	1
75	оно вообще не	1	1
76	на этой стадии	1	1
77	ни в какой	1	1
78	но само по	1	1
79	абстрактное понятие и	1	1
80	то время как	1	1
81	является не просто	1	1
82	есть тот же	1	1
83	так же как	5	1
84	того что мы	1	1
85	то что составляет	1	1
86	один из основных	1	1
87	в том чтобы	2	1
88	с одной стороны	9	1
89	когда он говорит	1	1
90	в конце концов	1	1
91	смысле этого слова	7	1
92	заслуживает того чтобы	1	1
93	качеств и свойств	1	1
94	и как бы	1	1
95	не мешает нам	1	1
96	той и другой	1	1
97	уже по одному	1	1
98	с другой стороны	8	1
99	когда мы говорим	1	1
100	речь идет о	3	1
101	остановиться на этом	1	1
102	на вопрос о	1	1
103	равным образом и	1	1
104	что они не	1	1
105	во всяком случае	3	1
106	только в своей	1	1
107	том смысле что	1	1
108	в то время	1	1
109	о том что	3	1
110	ту же самую	1	1
111	не только не	5	1
112	видим таким образом	4	1
113	вопрос о том	1	1
114	вместо того чтобы	1	1
115	к одному и	4	1
116	но все же	1	1
117	и в результате	2	1
118	одного и того	5	1
119	для того чтобы	5	1
120	в настоящем смысле	1	1
121	но и к	1	1
122	какое бы то	1	1
123	в том смысле	2	1
124	мы видим что	2	1
125	и что он	1	1
126	тех или иных	1	1
127	не только то	1	1
128	оно все же	1	1
129	друг с другом	7	1
130	самого последнего времени	1	1
131	но и то	1	1
132	он говорит об	1	1
133	что и в	1	1
134	как бы самостоятельный	1	1
135	одному и тому	4	1
136	только тогда когда	1	1
137	до самого последнего	1	1
138	и только в	2	1
