N	3gram	Tiupa_Narr_1	Sovremen
1	с точки зрения	2	5
2	не может быть	5	4
3	не может не	2	3
4	тем не менее	3	2
5	друг с другом	1	2
6	в отличие от	5	2
7	в свою очередь	3	2
8	не подлежит сомнению	1	2
9	может быть и	1	2
10	то же самое	1	2
11	точки зрения и	1	1
12	что иное как	2	1
13	в известном смысле	2	1
14	и не было	1	1
15	по крайней мере	1	1
16	в связи с	2	1
17	он уже не	1	1
18	какой бы то	1	1
19	дело в том	1	1
20	по отношению к	6	1
21	на самом деле	1	1
22	в этом смысле	1	1
23	так же как	2	1
24	с совершенно иными	1	1
25	а не только	1	1
26	в свое время	1	1
27	один и тот	1	1
28	до наших дней	1	1
29	до сих пор	1	1
30	то же время	3	1
31	тот или иной	1	1
32	и в то	1	1
33	сами по себе	2	1
34	по аналогии с	1	1
35	есть не что	1	1
36	бы то ни	3	1
37	в конечном счете	2	1
38	на две половины	1	1
39	можно было бы	2	1
40	в самом деле	1	1
41	той или иной	4	1
42	и прежде всего	1	1
43	но все же	4	1
44	но уже в	1	1
45	может быть только	1	1
46	в то же	3	1
47	из этих двух	1	1
48	не что иное	2	1
49	к нему иначе	1	1
50	в такого рода	1	1
51	в том что	8	1
52	в данном случае	4	1
53	и у нас	1	1
54	в западной европе	1	1
55	на другой день	2	1
56	то ни было	3	1
57	с одной стороны	7	1
58	именно в том	2	1
59	и тот же	1	1
