N	3gram	Berdyaev_N_1	Vladivir
1	о том что	1	7
2	в том что	1	7
3	то что он	1	5
4	в этом смысле	2	4
5	и потому что	1	3
6	с другой стороны	2	3
7	не может быть	4	3
8	говорит что в	1	2
9	в том чтобы	1	2
10	не только в	1	2
11	в то время	1	2
12	во всяком случае	1	2
13	а не к	1	1
14	на протяжении всей	1	1
15	будет сказать что	1	1
16	как это было	1	1
17	и не может	1	1
18	в то что	1	1
19	и совсем не	1	1
20	большую роль в	2	1
21	истории потому что	1	1
22	к жизни и	1	1
23	вместе с тем	2	1
24	то время как	1	1
25	с одной стороны	2	1
26	а во имя	1	1
27	это конечно не	1	1
28	ни в чем	1	1
29	и вместе с	1	1
30	это и есть	1	1
31	в последние годы	1	1
32	о человеке и	1	1
33	во имя своих	1	1
34	лицом к лицу	3	1
35	в россии и	1	1
