N	4gram	Medvedev_F_3	UchenyiS
1	бы то ни было	4	3
2	в то же время	7	3
3	сумме его стилистических приемов	1	2
4	не в том что	1	1
5	мы имеем в виду	1	1
6	она принуждается признать приемы	1	1
7	с другой стороны в	1	1
8	только в этом случае	1	1
9	сюда же литературного произведения	1	1
10	о литературе хочет стать	1	1
11	стать наукой она принуждается	1	1
12	принуждается признать приемы своим	1	1
13	наукой она принуждается признать	1	1
14	хочет стать наукой она	1	1
15	душа сюда же литературного	1	1
16	и в то же	2	1
17	признать приемы своим единственным	1	1
18	содержание душа сюда же	1	1
19	литературе хочет стать наукой	1	1
20	является с одной стороны	1	1
21	то же время не	1	1
22	если наука о литературе	1	1
23	приемы своим единственным героем	1	1
24	наука о литературе хочет	1	1
