N	3gram	Vygotskiy__2	Tragedij
1	в отличие от	3	2
2	точно так же	1	2
3	и в частности	1	2
4	в данном случае	3	2
5	о том что	4	2
6	и в самом	2	2
7	в том что	21	2
8	и психологического исследования	1	1
9	он сам говорит	1	1
10	том что он	1	1
11	имеет в виду	1	1
12	в своей книге	1	1
13	хотя бы и	2	1
14	сам по себе	1	1
15	что он не	2	1
16	и то что	1	1
17	за то что	1	1
18	что все это	1	1
19	в самой природе	1	1
20	в применении к	1	1
21	во всяком случае	6	1
22	в высшей степени	7	1
23	смысле этого слова	3	1
24	ответа на вопрос	1	1
25	уже в момент	1	1
26	по нашему мнению	1	1
27	по сравнению с	5	1
28	не могут быть	1	1
29	связаны между собой	1	1
30	жизни гораздо важнее	2	1
31	в связи с	6	1
32	то что он	2	1
33	только один раз	1	1
34	он противопоставляет свою	1	1
35	на деле же	2	1
36	вместо того чтобы	1	1
37	не может быть	6	1
38	тому что оно	1	1
39	на вопрос о	2	1
40	и все же	1	1
41	говорит по поводу	1	1
42	как и все	1	1
43	с самого начала	1	1
44	не только не	1	1
45	в самом деле	4	1
46	несмотря на все	1	1
47	я не хочу	1	1
48	на всем протяжении	2	1
49	после того как	1	1
50	сам говорит что	2	1
51	во всем его	1	1
52	как и в	1	1
