N	2gram	Propp_Russ_2	DiskursI
1	в качестве	3	34
2	не только	10	28
3	в том	22	23
4	а не	4	22
5	тогда как	2	19
6	том что	22	19
7	представляет собой	2	17
8	может быть	13	17
9	как и	11	16
10	и в	29	16
11	в этом	11	15
12	еще не	6	14
13	но и	8	14
14	при этом	6	13
15	по своей	1	11
16	но не	5	11
17	прежде всего	2	11
18	и не	1	11
19	как в	7	10
20	далеко не	4	10
21	с другой	2	10
22	в нем	1	9
23	не может	5	9
24	состоит в	15	9
25	с одной	2	9
26	одной стороны	2	9
27	отнюдь не	1	8
28	но в	5	8
29	своего рода	1	8
30	о том	9	8
31	так и	1	8
32	а также	4	8
33	не было	2	7
34	то же	4	7
35	не в	4	7
36	в основе	1	7
37	в его	1	7
38	только в	1	7
39	в своем	1	6
40	пока еще	2	6
41	и как	2	6
42	и на	6	5
43	во всех	3	5
44	отличие от	3	5
45	тому же	1	5
46	в котором	3	5
47	в их	2	5
48	в отличие	3	5
49	сводится к	1	5
50	можно сказать	1	5
51	а с	2	5
52	в данном	6	5
53	как бы	18	5
54	а в	9	5
55	то что	5	5
56	в своей	2	5
57	и о	3	4
58	в которых	4	4
59	отношение к	1	4
60	уже не	4	4
61	в них	4	4
62	потому что	5	4
63	могут быть	2	4
64	между тем	3	4
65	как правило	1	4
66	что он	1	4
67	для него	1	4
68	в особенности	1	4
69	по своим	1	4
70	связи с	2	4
71	не является	1	4
72	что в	22	4
73	и потому	1	3
74	в одной	1	3
75	с этим	2	3
76	перед нами	1	3
77	в самом	1	3
78	это не	5	3
79	в сказке	1	3
80	в своих	2	3
81	однако в	1	3
82	в то	2	3
83	принадлежат к	2	3
84	таким образом	6	3
85	свою очередь	1	3
86	в ее	3	3
87	не с	2	3
88	еще в	2	3
89	и даже	1	3
90	или на	8	3
91	имея в	1	3
92	что и	2	3
93	в данной	1	3
94	из них	4	3
95	к ним	1	3
96	тем что	3	3
97	именно в	4	3
98	имеет место	1	3
99	сказки о	2	3
100	по своему	1	3
101	тому как	3	3
102	того что	3	3
103	один из	2	3
104	все же	2	3
105	как уже	2	3
106	в свою	1	3
107	сказать что	1	3
108	другой стороны	1	3
109	одним из	2	2
110	например в	1	2
111	и есть	1	2
112	в году	3	2
113	как способ	1	2
114	мы имеем	6	2
115	совпадает с	1	2
116	на себя	2	2
117	в виду	2	2
118	между собой	2	2
119	в различных	1	2
120	стороны и	1	2
121	что касается	1	2
122	хотя и	1	2
123	когда он	1	2
124	более или	1	2
125	в тех	1	2
126	в этой	3	2
127	так сказать	1	2
128	не следует	1	2
129	ей в	1	2
130	том чтобы	2	2
131	подобно тому	3	2
132	и по	3	2
133	на этом	3	2
134	так например	1	2
135	исходя из	1	2
136	могла бы	1	2
137	об этом	2	2
138	того или	1	2
139	следует по-видимому	1	2
140	не всегда	3	2
141	или менее	1	2
142	в г	2	2
143	не от	1	2
144	не менее	2	2
145	но они	1	2
146	что с	2	2
147	дело не	2	2
148	в науке	1	2
149	и его	1	2
150	в момент	2	2
151	к себе	1	2
152	в сказках	1	2
153	оно не	1	2
154	как мы	3	2
155	говорит и	1	2
156	данном случае	7	2
157	в пределах	1	2
158	приводит к	1	2
159	и иные	1	2
160	в другом	1	2
161	своему происхождению	1	2
162	и вообще	1	2
163	а по	1	2
164	во всяком	1	2
165	и что	5	2
166	и во	1	2
167	в форме	2	2
168	представления о	2	2
169	в литературе	1	2
170	к различным	1	2
171	в какой	1	2
172	в разные	2	2
173	и ее	2	2
174	есть в	2	2
175	уже в	1	2
176	или даже	3	2
177	в одном	1	2
178	как его	1	2
179	заметить что	2	2
180	следует признать	1	2
181	никогда не	2	2
182	здесь в	2	2
183	и др	1	2
184	обратить внимание	1	2
185	из наиболее	2	2
186	зависит от	1	2
187	о чем	4	2
188	жизни в	2	2
189	или в	7	2
190	и все	4	2
191	не более	1	2
192	будто бы	5	2
193	одновременно и	1	2
194	это в	2	2
195	к этому	5	2
196	с природой	1	1
197	можно говорить	1	1
198	обычно в	1	1
199	однако здесь	1	1
200	и то	2	1
201	на самом	2	1
202	переход от	2	1
203	это и	2	1
204	года к	1	1
205	и до	1	1
206	смерть в	1	1
207	и должен	1	1
208	и за	1	1
209	тридевять земель	1	1
210	в и	3	1
211	следует обратить	1	1
212	человеком и	1	1
213	например то	1	1
214	собой как	1	1
215	несут в	1	1
216	из своих	1	1
217	этим связан	1	1
218	говорить о	1	1
219	но она	2	1
220	в полной	1	1
221	из того	1	1
222	которое не	1	1
223	мы и	1	1
224	в xix	3	1
225	вещь в	1	1
226	на них	4	1
227	не могу	1	1
228	ее к	2	1
229	относятся и	1	1
230	распространенное представление	1	1
231	сообщается в	1	1
232	иногда и	2	1
233	он пишет	1	1
234	нет и	1	1
235	отличаются от	1	1
236	что они	1	1
237	независимо от	1	1
238	в различные	1	1
239	там же	12	1
240	в противном	1	1
241	тех случаях	1	1
242	этом же	1	1
243	всего как	1	1
244	к числу	2	1
245	следующим образом	5	1
246	состояло в	1	1
247	в которой	2	1
248	что это	3	1
249	не был	2	1
250	он в	1	1
251	из этих	2	1
252	право на	2	1
253	рассказ о	1	1
254	что к	1	1
255	на то	1	1
256	быть только	2	1
257	что она	3	1
258	с ней	5	1
259	за тридевять	1	1
260	всех этих	1	1
261	в первую	1	1
262	не к	2	1
263	i в	1	1
264	на земле	5	1
265	как от	1	1
266	но все	1	1
267	совпадают с	1	1
268	не будет	1	1
269	значение в	1	1
270	входящие в	1	1
271	на все	1	1
272	этих форм	1	1
273	при помощи	1	1
274	и других	3	1
275	первую очередь	1	1
276	с другими	3	1
277	от одного	1	1
278	обе стороны	2	1
279	не соответствует	1	1
280	в новое	1	1
281	здесь это	1	1
282	для них	2	1
283	произойти в	1	1
284	он из	1	1
285	их как	1	1
286	с этой	2	1
287	с тем	6	1
288	мы видели	7	1
289	мы не	6	1
290	ее состоит	1	1
291	в научной	1	1
292	различные формы	1	1
293	в этих	3	1
294	во время	12	1
295	интерес представляет	1	1
296	и при	2	1
297	или точнее	1	1
298	таким же	1	1
299	в изучении	1	1
300	а как	1	1
301	не столько	2	1
302	в первый	1	1
303	должны были	2	1
304	мир и	1	1
305	которые в	1	1
306	его к	1	1
307	тем не	2	1
308	и более	1	1
309	характер в	2	1
310	стоит в	1	1
311	будут рассмотрены	3	1
312	до конца	3	1
313	но далеко	1	1
314	а иногда	2	1
315	как можно	2	1
316	даже не	1	1
317	виду что	1	1
318	не имеет	3	1
319	дело в	1	1
320	и притом	1	1
