N	2gram	Medvedev_S_1	Formalny
1	и не	1	30
2	вовсе не	1	28
3	и в	3	27
4	может быть	2	25
5	не может	1	24
6	так и	1	21
7	и его	1	19
8	в этом	5	18
9	таким образом	2	18
10	то же	2	15
11	в процессе	1	15
12	между ними	1	15
13	как и	1	14
14	не в	3	12
15	место в	1	10
16	но и	2	10
17	не только	3	9
18	отнюдь не	1	8
19	с помощью	1	8
20	как бы	2	8
21	только в	2	8
22	то что	2	8
23	что в	2	8
24	тем же	1	7
25	же время	1	7
26	его в	1	7
27	между тем	1	7
28	в его	3	7
29	в том	5	7
30	все это	7	7
31	в то	1	7
32	еще не	2	6
33	все эти	1	6
34	произведение как	1	6
35	в своей	1	6
36	всяком случае	1	6
37	было бы	2	6
38	что он	1	6
39	с другой	1	6
40	в данном	1	6
41	все же	1	6
42	бы в	1	6
43	истории литературы	10	6
44	хотя бы	1	6
45	во всяком	1	6
46	но не	1	5
47	в каждом	1	5
48	никогда не	1	5
49	связи с	1	5
50	развития литературы	4	5
51	тем что	1	5
52	и потому	1	5
53	в результате	2	5
54	мы не	1	4
55	и как	1	4
56	в целом	1	4
57	но ведь	3	4
58	том что	2	4
59	по себе	1	4
60	в смысле	2	4
61	о том	1	4
62	связь между	1	4
63	конечно не	1	4
64	прежде всего	1	4
65	в связи	1	4
66	между собой	1	4
67	они не	1	4
68	должна быть	2	3
69	литературы и	2	3
70	столь же	1	3
71	время в	1	3
72	жанра и	1	3
73	что это	1	3
74	те же	1	3
75	это не	1	3
76	в этих	1	3
77	и более	1	3
78	по отношению	2	3
79	тому что	1	3
80	для нас	3	3
81	же самое	1	3
82	только то	1	3
83	никак не	1	3
84	и что	2	3
85	единства и	1	3
86	в них	1	3
87	в него	1	3
88	наука о	1	3
89	в конце	2	3
90	отношению к	2	3
91	это и	2	2
92	в котором	1	2
93	в сущности	1	2
94	очевидно что	2	2
95	за пределы	2	2
96	метод в	4	2
97	в этой	1	2
98	что она	1	2
99	главным образом	2	2
100	это значит	1	2
101	этих вопросов	1	2
102	том как	1	2
103	этом нужно	1	2
104	как совокупность	1	2
105	не от	1	2
106	даже в	1	2
107	дело не	2	2
108	ровно ничего	1	2
109	темы и	1	2
110	для этого	1	2
111	ничего не	1	2
112	на все	1	2
113	и только	3	2
114	единство не	1	2
115	именно на	1	2
116	в области	1	2
117	к которому	2	2
118	мы еще	1	2
119	исторического развития	2	2
120	внутреннего единства	1	2
121	она должна	1	2
122	конце концов	2	2
123	мы должны	1	2
124	история литературы	1	2
125	я и	1	1
126	художественных произведений	1	1
127	этом не	1	1
128	литературный факт	1	1
129	и связь	1	1
130	и понимает	1	1
131	в литературоведении	2	1
132	только тогда	1	1
133	сама по	1	1
134	в противном	1	1
135	есть совокупность	1	1
136	построения новеллы	1	1
137	формальный метод	1	1
138	иначе и	1	1
139	противном случае	1	1
140	развиваться в	1	1
141	по существу	2	1
142	ни были	1	1
143	и по	1	1
144	так называемым	1	1
145	же не	1	1
146	в мире	1	1
147	быть не	1	1
148	переходим к	1	1
149	на первый	1	1
150	нужно было	2	1
151	работы в	1	1
152	стать наукой	2	1
153	именно и	1	1
154	может развиваться	1	1
155	бы о	1	1
156	не должна	1	1
157	литературы как	1	1
158	с ним	1	1
159	внешними причинами	1	1
160	должны служить	1	1
161	тогда и	1	1
162	но только	1	1
163	же этот	1	1
164	дело осложняется	1	1
165	больше того	1	1
166	наконец в	1	1
167	этого и	1	1
168	литературы на	1	1
169	эстетику и	1	1
170	выходит за	1	1
171	первый план	1	1
172	и должно	1	1
173	это происходит	1	1
174	настоящее время	1	1
175	не выходит	1	1
176	где же	1	1
177	творческой энергии	1	1
178	делая все	1	1
179	и остаются	1	1
180	ними в	1	1
181	в лучшем	1	1
182	и самые	1	1
183	и история	1	1
184	литература как	1	1
185	это же	1	1
186	с одной	1	1
187	литературного развития	1	1
188	развитие но	1	1
189	не из	1	1
190	или даже	2	1
191	ведь это	2	1
192	изучаемого объекта	1	1
193	без этого	1	1
194	в систему	1	1
195	даже не	1	1
196	именно в	1	1
197	еще и	1	1
198	и затем	1	1
199	на ней	1	1
200	что таким	1	1
201	не было	1	1
202	одной стороны	1	1
203	зависит от	1	1
204	представляется нам	1	1
205	между собою	1	1
206	в частности	2	1
207	он говорит	1	1
208	его собственные	1	1
209	и о	1	1
210	только для	1	1
211	лучшем случае	1	1
212	пришлось бы	1	1
213	один из	1	1
214	она может	2	1
215	в настоящее	1	1
216	или не	1	1
217	все то	1	1
218	а в	1	1
219	о литературе	3	1
220	проникли в	1	1
