N	3gram	Bakhtin_fo_2	VelikijI
1	к тому что	1	3
2	но и в	3	2
3	том что он	1	2
4	вместо того чтобы	1	2
5	в том что	3	2
6	и т д	3	2
7	но все же	1	1
8	никогда не было	1	1
9	другой стороны в	1	1
10	есть прежде всего	1	1
11	в этом мире	6	1
12	находится в состоянии	1	1
13	все это мы	1	1
14	вместе с тем	1	1
15	у нас это	1	1
16	в конце концов	1	1
17	и в этом	3	1
18	ни для чего	1	1
19	в них и	1	1
20	с другой стороны	1	1
21	как бы в	1	1
22	и вечной жизни	1	1
23	по сравнению с	1	1
24	и вместе с	1	1
25	вот почему в	1	1
26	от бога и	1	1
27	как и в	1	1
28	на земле то	1	1
