N	2gram	Bakhtin_Fr_8	Myshleni
1	с помощью	3	42
2	в процессе	5	27
3	и в	56	25
4	в развитии	2	24
5	в том	13	23
6	и речи	1	20
7	том что	8	20
8	таким образом	17	17
9	ребенка и	1	17
10	так же	2	17
11	что в	5	17
12	с тем	2	16
13	в основе	4	16
14	как и	5	15
15	в его	18	15
16	то что	3	15
17	в этом	14	14
18	вместе с	2	14
19	между собой	1	13
20	может быть	3	13
21	так как	4	12
22	в качестве	4	12
23	по своему	8	11
24	что они	2	10
25	перед нами	3	10
26	и что	1	10
27	что и	3	10
28	было бы	2	10
29	того что	1	10
30	только в	9	10
31	как бы	11	10
32	и не	9	10
33	мы не	2	9
34	связи с	6	9
35	заключается в	1	9
36	ни в	2	9
37	как в	1	9
38	как мы	7	8
39	того чтобы	4	8
40	тем что	1	8
41	речи и	3	8
42	по своей	4	7
43	все эти	15	7
44	понятий и	1	7
45	в области	5	7
46	уже в	2	7
47	мы можем	1	7
48	для того	2	7
49	формы мышления	1	7
50	того же	1	6
51	и на	7	6
52	но не	5	6
53	потому что	6	6
54	не только	8	6
55	не может	2	6
56	мы видели	5	6
57	точки зрения	6	6
58	в отличие	1	6
59	не в	3	6
60	в отношении	5	6
61	самого начала	1	6
62	с самого	1	6
63	можно было	1	6
64	один из	5	6
65	что он	2	6
66	отличие от	1	6
67	со всеми	1	6
68	и у	1	6
69	понятий в	1	6
70	с другой	2	6
71	в связи	3	6
72	слова и	3	6
73	благодаря этому	2	6
74	все это	8	6
75	все же	2	6
76	одним из	5	5
77	человека и	2	5
78	мы уже	10	5
79	с ее	5	5
80	и как	2	5
81	и к	4	5
82	что это	4	5
83	что она	2	5
84	при этом	4	5
85	к одному	1	5
86	на этой	1	5
87	задачи и	1	5
88	уже говорили	7	5
89	но это	2	5
90	с другом	1	5
91	могут быть	1	5
92	и т.д	3	5
93	о том	4	5
94	так и	13	5
95	если бы	2	5
96	в этой	6	5
97	по типу	1	5
98	слов и	3	5
99	с одной	4	5
100	для него	2	5
101	именно в	1	5
102	из которых	2	5
103	одной стороны	2	5
104	друг с	1	5
105	тем же	1	4
106	бы что	1	4
107	время как	1	4
108	еще не	10	4
109	которые не	1	4
110	в своем	3	4
111	из этих	1	4
112	в известном	2	4
113	он не	5	4
114	в основу	1	4
115	той же	6	4
116	не мог	3	4
117	одного и	1	4
118	мы говорили	1	4
119	речи в	1	4
120	в то	12	4
121	тогда когда	1	4
122	этого слова	1	4
123	никогда не	5	4
124	не могут	1	4
125	к тому	1	4
126	что оно	1	4
127	и это	1	4
128	то время	2	4
129	мог бы	1	4
130	по сравнению	1	4
131	в ход	1	4
132	с ним	2	4
133	из них	2	4
134	основе их	2	4
135	мы знаем	1	4
136	но и	9	4
137	прежде всего	6	4
138	там где	3	4
139	независимо от	1	4
140	и все	6	4
141	а в	2	4
142	сказать что	3	4
143	речи как	1	4
144	в частности	7	4
145	как известно	1	3
146	в котором	2	3
147	видели что	3	3
148	по отношению	1	3
149	когда он	2	3
150	его к	3	3
151	в самом	9	3
152	им в	1	3
153	но на	1	3
154	что эти	2	3
155	этот процесс	1	3
156	как он	1	3
157	не как	2	3
158	и сам	2	3
159	его в	2	3
160	понятия и	1	3
161	или менее	2	3
162	в которых	2	3
163	которые в	1	3
164	состоит в	1	3
165	их в	4	3
166	не могли	2	3
167	того как	2	3
168	во всем	4	3
169	своего развития	1	3
170	в себя	1	3
171	на том	1	3
172	и которые	4	3
173	когда в	2	3
174	является в	1	3
175	связаны с	6	3
176	мы видим	6	3
177	дело с	1	3
178	между тем	3	3
179	по этому	1	3
180	не можем	1	3
181	в виде	2	3
182	и их	8	3
183	этом отношении	1	3
184	или иной	1	3
185	к которому	3	3
186	связи и	3	3
187	а с	1	3
188	связь с	3	3
189	сравнению с	1	3
190	с этой	2	3
191	в результате	5	3
192	между ними	2	3
193	другой стороны	2	3
194	их с	1	3
195	имеет место	1	3
196	к этому	2	3
197	смысле слова	1	2
198	и то	2	2
199	то же	11	2
200	и могут	1	2
201	а как	1	2
202	первый план	2	2
203	в чем	1	2
204	с его	5	2
205	бы в	3	2
206	вступают в	1	2
207	все остальные	2	2
208	хотя и	2	2
209	что по	1	2
210	с нею	1	2
211	говорили что	5	2
212	это тот	1	2
213	с их	2	2
214	в себе	4	2
215	говорит не	1	2
216	на его	6	2
217	связанные с	1	2
218	связей между	1	2
219	момента в	1	2
220	здесь мы	3	2
221	в нем	8	2
222	главным образом	3	2
223	и характер	1	2
224	в совершенно	4	2
225	в мире	2	2
226	конечно в	2	2
227	зрения на	2	2
228	с другими	1	2
229	в новое	1	2
230	из нее	2	2
231	в них	11	2
232	в один	1	2
233	в эту	2	2
234	в этих	11	2
235	в своей	2	2
236	и мышления	1	2
237	место в	1	2
238	которые должны	1	2
