N	3gram	Vinokur_Vv_1	Marksizm
1	с точки зрения	2	13
2	не может быть	8	10
3	по отношению к	4	8
4	то же время	5	8
5	в то же	5	8
6	в связи с	2	7
7	для того чтобы	21	6
8	в том что	12	6
9	в самом деле	5	5
10	то же самое	2	5
11	может быть и	2	5
12	но в то	3	5
13	на этой почве	2	5
14	с самого начала	1	5
15	в свою очередь	1	5
16	смысле этого слова	2	4
17	и того же	2	4
18	бы то ни	1	4
19	как если бы	1	4
20	то ни было	1	4
21	в точном смысле	1	4
22	в русском языке	1	4
23	на самом деле	1	4
24	той или иной	1	4
25	одного и того	2	4
26	в отличие от	3	3
27	до сих пор	5	3
28	и не в	1	3
29	одно и то	1	3
30	с одной стороны	4	3
31	и то же	1	3
32	отсюда следует что	1	3
33	о том что	12	3
34	языка и его	2	3
35	как мы уже	1	3
36	к тому что	1	3
37	как мы видели	2	3
38	одной стороны и	3	2
39	какой бы то	1	2
40	быть и речи	1	2
41	того или иного	1	2
42	в зависимости от	1	2
43	но и в	1	2
44	так как если	1	2
45	в собственном смысле	2	2
46	по крайней мере	4	2
47	в значительной степени	1	2
48	того чтобы понять	2	2
49	во всяком случае	3	2
50	мы уже знаем	1	2
51	собственном смысле слова	1	2
52	только в этом	1	2
53	и прежде всего	1	2
54	именно для того	1	2
55	только в особых	1	1
56	в другом месте	2	1
57	на том что	2	1
58	что иное как	4	1
59	истории языка и	3	1
60	самом деле даже	1	1
61	речь идет об	1	1
62	но как мы	1	1
63	не только по	1	1
64	между тем именно	1	1
65	то о чем	1	1
66	того что уже	2	1
67	дело в том	2	1
68	не говоря уже	2	1
69	так называемой национальной	1	1
70	в соответствии с	2	1
71	в этом случае	6	1
72	в широком смысле	7	1
73	не как на	1	1
74	что и эта	1	1
75	говоря уже о	1	1
76	сам по себе	1	1
77	мысли как мы	1	1
78	по самой своей	2	1
79	в истории языка	1	1
80	от этого не	1	1
81	каждой из этих	1	1
82	в этом отношении	3	1
83	и т.д и	1	1
84	в гораздо большей	1	1
85	не сам по	1	1
86	том что не	1	1
87	в этом качестве	1	1
88	широком смысле слова	4	1
89	между языком и	1	1
90	в этой форме	1	1
91	так или иначе	4	1
92	и тогда когда	1	1
93	если же мы	1	1
94	как мы знаем	1	1
95	уже о том	1	1
96	входит в ее	1	1
97	него в этом	1	1
98	не только в	4	1
99	же самое что	2	1
100	а не иначе	1	1
101	отношению к нему	1	1
102	по сравнению с	3	1
103	тем не менее	8	1
104	не могут быть	2	1
105	самом деле как	1	1
106	самое что история	1	1
107	чтобы убедиться в	1	1
108	само по себе	3	1
109	тем или иным	1	1
110	а как на	1	1
111	с другой стороны	5	1
112	и в том	3	1
113	не иначе как	1	1
114	соответствии с этим	1	1
115	на то или	1	1
116	из всего сказанного	1	1
117	в особых исключительных	1	1
118	то или иное	1	1
119	всего того что	1	1
120	с тем что	3	1
121	и эта черта	1	1
122	не существует и	1	1
123	не что иное	4	1
124	и в особенности	4	1
125	но все же	3	1
126	можно сказать что	3	1
127	но ведь это	1	1
128	одним из наиболее	1	1
129	в данном отношении	2	1
130	к одной из	1	1
131	дать ответ на	2	1
132	но во всяком	1	1
133	но также и	9	1
134	лицом к лицу	1	1
135	но в этом	1	1
136	особых исключительных случаях	1	1
137	так а не	1	1
138	слова для того	1	1
139	в тех областях	1	1
