N	2gram	Tiupa_Disk_1	Russkaja
1	не может	9	22
2	и не	11	19
3	в том	23	17
4	в этом	15	17
5	и в	16	14
6	то что	5	13
7	самим собой	1	12
8	то же	7	11
9	точки зрения	3	11
10	таким образом	3	11
11	в то	3	10
12	же время	4	10
13	но и	14	10
14	в себе	7	9
15	не только	28	9
16	том что	19	9
17	с точки	1	9
18	может быть	17	9
19	во всяком	2	9
20	прежде всего	11	8
21	самом деле	1	7
22	отнюдь не	8	7
23	в данном	5	7
24	к тому	5	7
25	не будет	1	7
26	россии в	1	7
27	о том	8	7
28	мы должны	1	7
29	ни к	6	7
30	если в	1	6
31	в своем	6	6
32	и к	4	6
33	в россии	1	6
34	с тем	1	6
35	в своих	3	6
36	и при	1	6
37	если бы	1	6
38	что он	4	6
39	всяком случае	1	6
40	для всех	1	6
41	для него	4	6
42	на самом	1	6
43	вопрос о	1	5
44	и на	5	5
45	между собой	2	5
46	во всех	5	5
47	на то	1	5
48	в нем	9	5
49	при этом	13	5
50	он не	1	5
51	было бы	1	5
52	в своей	5	5
53	никогда не	2	5
54	потому что	4	5
55	между тем	4	5
56	а потому	1	5
57	только в	7	5
58	хотя бы	3	5
59	или иной	5	5
60	до сих	1	5
61	себя и	1	5
62	сих пор	1	5
63	а в	5	5
64	жизни в	2	5
65	и то	1	4
66	но не	11	4
67	себе и	1	4
68	себя в	2	4
69	все же	3	4
70	более или	2	4
71	не в	7	4
72	в этой	2	4
73	на земле	1	4
74	том случае	1	4
75	как и	16	4
76	которой он	1	4
77	или менее	2	4
78	в их	5	4
79	во всем	1	4
80	от того	1	4
81	не могут	1	4
82	приводит к	2	4
83	в мире	1	4
84	и т.д	4	4
85	в его	7	4
86	со стороны	7	4
87	вместе с	1	4
88	что же	2	4
89	как бы	5	4
90	отказаться от	1	4
91	что в	4	4
92	говорить о	1	3
93	еще не	14	3
94	он сам	1	3
95	из этих	1	3
96	что они	1	3
97	в самом	3	3
98	что это	1	3
99	на том	2	3
100	и по	2	3
101	в другом	2	3
102	лишь в	4	3
103	для них	1	3
104	о которых	1	3
105	несмотря на	1	3
106	всех этих	1	3
107	таким же	1	3
108	том чтобы	2	3
109	связи с	4	3
110	точке зрения	1	3
111	той или	3	3
112	данном случае	2	3
113	собой и	1	3
114	сводится к	5	3
115	при котором	1	3
116	в значительной	2	3
117	и во	2	3
118	что и	3	3
119	того что	3	3
120	одной из	4	3
121	в качестве	34	3
122	в большинстве	1	3
123	в виде	1	3
124	из них	3	3
125	в конце	1	3
126	друг друга	1	3
127	тем что	3	3
128	именно в	3	3
129	не было	7	3
130	и потому	3	3
131	да и	1	3
132	культуры в	1	3
133	этом случае	1	3
134	и будут	1	3
135	или в	2	3
136	о котором	2	3
137	и как	6	3
138	не есть	2	3
139	случае если	1	3
140	речь идет	1	2
141	к данному	2	2
142	и есть	2	2
143	от своей	1	2
144	видеть в	1	2
145	этом направлении	1	2
146	к чему	1	2
147	но она	1	2
148	на себя	2	2
149	в таком	1	2
150	взгляде на	1	2
151	по отношению	9	2
152	тогда как	19	2
153	с этим	3	2
154	целый ряд	2	2
155	но в	8	2
156	другом случае	1	2
157	и те	1	2
158	состоит в	9	2
159	не к	1	2
160	того или	2	2
161	на почве	1	2
162	по себе	3	2
163	и тем	2	2
164	же образом	1	2
165	ему по	1	2
166	в этих	1	2
167	во время	1	2
168	что такое	1	2
169	в котором	5	2
170	в силу	5	2
171	и более	1	2
172	лежит не	1	2
173	том и	1	2
174	что с	2	2
175	принадлежат к	3	2
176	к такому	2	2
177	и является	1	2
178	как будто	1	2
179	в области	1	2
180	к себе	2	2
181	отличается от	2	2
182	указывает на	2	2
183	если же	1	2
184	для себя	4	2
185	и о	4	2
186	даже не	1	2
187	и должно	1	2
188	в лоне	1	2
189	и что	2	2
190	они принадлежат	1	2
191	к нему	1	2
192	это в	2	2
193	отметить что	1	2
194	быть и	1	2
195	согласиться с	1	2
196	уже не	4	2
197	только на	1	2
198	в начале	2	2
199	его и	1	2
200	не о	1	2
201	мы можем	1	2
202	при отсутствии	1	2
203	к той	3	2
204	принадлежность к	1	2
205	и даже	3	2
206	а с	5	2
207	зависит от	2	2
208	а не	22	2
209	большинстве случаев	1	2
210	в частности	9	2
211	в меру	1	2
212	их к	1	2
