N	4gram	Medvedev_F_3	Problema
1	в его лингвистической определенности	1	3
2	в то же время	7	3
3	с точки зрения самого	2	2
4	в коем случае не	1	2
5	бы то ни было	4	2
6	не может и не	1	2
7	ни в коем случае	1	2
8	и в то же	2	2
9	и тем не менее	1	1
10	дело в том что	1	1
11	и в других областях	1	1
12	мы можем сказать что	1	1
13	может быть определен в	1	1
14	от одного к другому	1	1
15	и не может быть	3	1
16	на самом же деле	2	1
17	не выходит за пределы	1	1
18	по отношению к данному	1	1
19	может иметь место в	1	1
20	отнюдь не следует что	1	1
21	в связи с теорией	1	1
22	которые могут быть выделены	1	1
23	отсюда отнюдь не следует	1	1
24	иметь в виду что	1	1
25	ее художественного воплощения в	1	1
26	а вовсе не как	1	1
27	не нуждается ни в	2	1
28	с точки зрения одной	1	1
29	в настоящее время в	1	1
30	язык в его лингвистической	1	1
31	что в его состав	1	1
32	не в том что	1	1
33	имеет место и у	1	1
34	о которых идет речь	1	1
35	может быть понята как	1	1
36	чего бы то ни	1	1
