N	2gram	Bakhtin_Pr_2	SlovoVZh
1	не может	18	16
2	может быть	23	14
3	точки зрения	13	14
4	как бы	22	13
5	и его	8	13
6	таким образом	5	12
7	и в	43	12
8	по отношению	5	11
9	в нашем	1	11
10	отношению к	5	11
11	и не	29	10
12	если бы	3	9
13	так как	4	9
14	прежде всего	10	8
15	художественного произведения	1	7
16	сказать что	2	7
17	для нас	2	7
18	в интонации	1	6
19	в том	6	6
20	только в	4	6
21	при этом	6	6
22	с помощью	1	6
23	в нем	12	6
24	слова и	12	6
25	все время	1	6
26	в процессе	2	6
27	и героя	1	6
28	художественную форму	1	6
29	должна быть	3	5
30	то же	8	5
31	в виду	3	5
32	можно сказать	1	5
33	как в	2	5
34	но в	10	5
35	и др	2	5
36	в жизни	3	5
37	героя и	5	5
38	а не	7	5
39	как и	14	5
40	и следовательно	3	5
41	том что	2	5
42	никогда не	9	5
43	хотя бы	2	5
44	то что	7	5
45	на самом	1	4
46	литературы и	1	4
47	социального общения	1	4
48	как если	2	4
49	к нему	5	4
50	за пределы	3	4
51	в этом	13	4
52	все же	3	4
53	в самом	7	4
54	уже не	3	4
55	не только	11	4
56	ни было	2	4
57	отношение к	2	4
58	так и	3	4
59	с другой	4	4
60	что не	2	4
61	не в	11	4
62	его в	3	4
63	дело в	2	4
64	и является	2	4
65	и к	3	4
66	жизни и	1	4
67	и на	10	4
68	здесь не	6	3
69	самом деле	5	3
70	в котором	6	3
71	в пределах	16	3
72	ведь и	7	3
73	еще не	9	3
74	мы не	4	3
75	с героем	1	3
76	и вообще	1	3
77	социальной группы	1	3
78	о том	5	3
79	и герой	2	3
80	бы то	1	3
81	но и	14	3
82	между тем	3	3
83	точка зрения	1	3
84	того что	2	3
85	в художественном	3	3
86	быть и	2	3
87	когда он	3	3
88	и наконец	6	3
89	и ее	3	3
90	все эти	5	3
91	только на	3	3
92	конечно не	2	3
93	в себе	5	3
94	в поэзии	2	3
95	слово в	8	3
96	да и	5	3
97	к герою	1	3
98	в творчестве	2	3
99	для него	8	3
100	социальных оценок	1	3
101	отражает в	1	3
102	он должен	1	3
103	не к	1	3
104	внутренней речи	2	3
105	воздействует на	1	3
106	и по	1	3
107	то ни	1	3
108	и с	5	3
109	точек зрения	4	3
110	до сих	7	3
111	ни в	2	3
112	и пр	2	3
113	в них	4	3
114	автору и	1	3
115	и уже	1	3
116	в своей	4	3
117	художественного творчества	2	3
118	так же	2	3
119	в такой	2	3
120	тем не	2	3
121	этой точки	1	3
122	как к	1	3
123	в содержание	1	3
124	из этого	1	3
125	не должна	3	3
126	по себе	11	3
127	сих пор	7	3
128	не менее	3	3
129	все это	5	3
130	но для	3	3
131	и для	3	3
132	это как	1	3
133	так называемой	1	3
134	с ним	3	3
135	отношении к	2	3
