N	4gram	Tiupa_Teor_1	KulturaY
1	в то же время	5	3
2	в том случае если	1	2
3	точно так же как	1	2
4	в той мере в	1	1
5	можно сказать что для	1	1
6	в том или ином	1	1
7	не что иное как	1	1
8	иметь в виду что	1	1
9	в виду не только	3	1
10	бы то ни было	1	1
11	состоит в том что	4	1
12	одном и том же	1	1
13	дело в том что	1	1
14	той мере в какой	1	1
15	в одном и том	1	1
16	в нашем языковом сознании	1	1
17	заключается в том что	1	1
18	приводит к тому что	2	1
19	как это имеет место	1	1
20	есть не что иное	1	1
