N	3gram	Kanaev_Sov_1	Istorich
1	в этом случае	1	5
2	до сих пор	1	5
3	в том что	1	5
4	тем не менее	2	5
5	мы видим что	1	4
6	что иное как	1	3
7	в данном случае	1	3
8	в связи с	1	3
9	не что иное	1	3
10	мы видели что	3	3
11	через некоторое время	2	2
12	по отношению к	1	2
13	с одной стороны	1	2
14	часто встречающееся в	1	2
15	мы уже знаем	1	2
16	во всяком случае	2	2
17	но тем не	1	2
18	но все же	1	2
19	мы это увидим	1	1
20	мы видим не	1	1
21	мы знаем что	1	1
22	уже знаем что	1	1
23	и пр но	1	1
24	и той же	1	1
25	каждого из них	2	1
26	с точки зрения	5	1
27	сами по себе	1	1
28	можно было бы	1	1
29	ничего не доказывают	1	1
30	может быть и	2	1
31	в такой же	1	1
32	это означало бы	1	1
33	так же как	1	1
34	есть не что	1	1
35	прежде всего мы	1	1
36	но они не	1	1
37	в свою очередь	2	1
38	и прежде всего	1	1
39	на самом деле	1	1
40	существенно отличается от	1	1
41	равно как и	1	1
42	не может быть	4	1
43	с самого начала	3	1
44	одной и той	1	1
45	друг с другом	2	1
46	и эта сторона	1	1
47	может быть в	1	1
48	и у нас	1	1
49	на этот вопрос	1	1
50	она не может	1	1
51	это или нет	1	1
