N	3gram	Tiupa_Narr_2	SlovoVZh
1	по отношению к	5	11
2	не может быть	2	7
3	можно сказать что	3	5
4	в том что	8	4
5	и не может	2	3
6	тем не менее	4	3
7	этой точки зрения	1	3
8	до сих пор	1	3
9	на самом деле	2	2
10	то же самое	1	2
11	одной стороны и	1	2
12	с точки зрения	2	2
13	в зависимости от	1	2
14	с этой стороны	1	2
15	в данном случае	6	2
16	с одной стороны	5	2
17	того о ком	1	1
18	социального взаимодействия трех	1	1
19	в виду и	1	1
20	таким образом для	1	1
21	отношению к которому	1	1
22	а между тем	1	1
23	в чем не	1	1
24	или хотя бы	1	1
25	имеем дело с	2	1
26	трех говорящего автора	1	1
27	читателя и того	1	1
28	и потому не	1	1
29	на второй план	2	1
30	и продукт социального	1	1
31	или о чем	1	1
32	слово есть выражение	1	1
33	мы имеем дело	2	1
34	о ком или	1	1
35	в этом направлении	1	1
36	то время как	1	1
37	одним и тем	1	1
38	более или менее	1	1
39	во всяком случае	1	1
40	но то же	1	1
41	в самом деле	1	1
42	ком или о	1	1
43	в этом смысле	1	1
44	продукт социального взаимодействия	1	1
45	они захватывают и	1	1
46	как это делает	1	1
47	в то время	1	1
48	в частности в	1	1
49	взаимодействия трех говорящего	1	1
50	ни в чем	1	1
51	чем говорят героя	1	1
52	как в жизни	1	1
53	выражение и продукт	1	1
54	но и в	2	1
55	о том что	4	1
56	в этом отношении	3	1
57	по аналогии с	1	1
58	она в самом	1	1
59	и того о	1	1
60	никогда не бывает	1	1
61	то что я	1	1
62	в конечном счете	3	1
63	можно было бы	1	1
64	всей жизни в	1	1
65	отношения между людьми	1	1
66	то же время	3	1
67	подобно тому как	2	1
68	и здесь мы	1	1
69	в основе своей	1	1
70	есть выражение и	1	1
71	в противном случае	1	1
72	о чем говорят	1	1
73	может быть только	1	1
74	в то же	3	1
75	так же как	2	1
76	далеко не всегда	1	1
77	и тем же	1	1
78	позицию по отношению	1	1
79	к тому же	4	1
80	это прежде всего	1	1
81	форме так и	1	1
