N	3gram	Tiupa_Lite_1	Tragedij
1	то же время	5	5
2	в то же	5	5
3	в отличие от	5	2
4	и в частности	1	2
5	в данном случае	4	2
6	но в то	1	2
7	не в силах	1	2
8	о том что	2	2
9	но все же	1	2
10	в том что	11	2
11	стихах и прозе	1	1
12	это должно быть	1	1
13	том что он	1	1
14	и то что	2	1
15	в этой связи	1	1
16	в виду не	2	1
17	во всяком случае	2	1
18	но при этом	2	1
19	и в этом	1	1
20	тем не менее	2	1
21	в xix веке	1	1
22	в связи с	4	1
23	не может быть	1	1
24	xx века в	1	1
25	больше в нем	1	1
26	еще в году	2	1
27	с самого начала	1	1
28	уже в году	2	1
29	в самом деле	1	1
30	и даже отчасти	1	1
31	это уже было	1	1
32	в стихах и	1	1
