N	4gram	Bakhtin_Pr_1	Problema
1	позицию по отношению к	1	3
2	в то же время	7	3
3	бы то ни было	2	2
4	и в то же	3	2
5	дело в том что	1	1
6	в большинстве случаев они	1	1
7	выйти за их пределы	1	1
8	ведь в противном случае	1	1
9	что бы то ни	1	1
10	которые могли бы быть	1	1
11	бы то ни стало	1	1
12	в то время как	1	1
13	именно в том что	2	1
14	в этом глубокое своеобразие	1	1
15	только при этом условии	1	1
16	во что бы то	1	1
17	но в то же	2	1
18	имеют все же некоторую	1	1
19	и в этом отношении	2	1
20	до своих последних пределов	1	1
21	на себя самого как	1	1
22	это и есть та	1	1
23	а вовсе не как	1	1
24	не в том что	1	1
25	по отношению к нему	1	1
26	точка зрения на мир	2	1
27	позиции по отношению к	1	1
