N	2gram	Voloshinov_1	Analitik
1	в качестве	4	31
2	может быть	13	29
3	в том	2	27
4	не может	12	22
5	и не	14	21
6	в частности	3	19
7	и в	38	18
8	но и	13	17
9	а не	6	17
10	представляет собой	2	16
11	отнюдь не	10	15
12	не только	27	15
13	не в	6	14
14	в этом	10	13
15	как и	10	13
16	в его	6	13
17	при этом	9	12
18	том что	3	12
19	литературное произведение	2	12
20	в себе	9	11
21	то есть	4	11
22	но не	2	10
23	то же	14	9
24	в то	9	9
25	а в	5	9
26	есть не	2	8
27	в мире	2	8
28	но в	5	8
29	нуждается в	2	8
30	в той	5	8
31	не есть	1	8
32	тем самым	7	7
33	к тому	4	7
34	этого слова	3	7
35	я и	2	6
36	перед лицом	1	6
37	мы имеем	2	6
38	в сущности	1	6
39	в самом	4	6
40	наш взгляд	1	6
41	на наш	2	6
42	это не	3	6
43	точки зрения	10	6
44	в своей	2	6
45	в основе	2	6
46	по своей	2	6
47	той или	3	6
48	должен быть	2	6
49	в себя	1	6
50	времени и	2	6
51	же время	7	6
52	только в	6	6
53	себя в	4	6
54	то что	8	6
55	или иной	4	6
56	прежде всего	21	6
57	художественного произведения	1	5
58	в их	1	5
59	что иное	2	5
60	и на	6	5
61	иное как	2	5
62	и как	9	5
63	в произведении	1	5
64	в целом	4	5
65	в этой	6	5
66	внутренней речи	18	5
67	лишь в	4	5
68	и его	7	5
69	о том	4	5
70	и того	1	5
71	между тем	3	5
72	и т.п	21	5
73	как бы	28	5
74	художественное произведение	1	5
75	что в	1	5
76	того же	1	4
77	не что	4	4
78	столь же	1	4
79	более чем	1	4
80	все же	7	4
81	тому же	2	4
82	с другими	2	4
83	не всегда	2	4
84	с точки	5	4
85	по себе	1	4
86	в области	5	4
87	ни в	1	4
88	так и	6	4
89	не с	3	4
90	с ним	2	4
91	лишь при	1	4
92	в другом	1	4
93	на вопрос	1	4
94	с другой	1	4
95	в конечном	1	4
96	искусства в	1	4
97	того что	4	4
98	дело с	1	4
99	уже не	4	4
100	конечном счете	1	4
101	для того	9	4
102	именно в	1	4
103	вместе с	5	4
104	человека к	1	4
105	из которых	3	4
106	в литературе	1	4
107	как предмет	1	4
108	собственно говоря	1	4
109	одним из	1	3
110	и есть	1	3
111	между двумя	2	3
112	место в	2	3
113	это всегда	1	3
114	если в	1	3
115	в художественном	1	3
116	однако не	1	3
117	и к	4	3
118	в нашем	5	3
119	как он	1	3
120	в нем	4	3
