N	3gram	Propp_Morf_1	Vvedenie
1	и т д	39	36
2	для того чтобы	2	20
3	о том что	1	12
4	в том что	3	12
5	тем не менее	4	8
6	не может быть	9	8
7	том что такое	1	6
8	до сих пор	1	6
9	т д но	4	5
10	с другой стороны	4	5
11	с одной стороны	1	4
12	может быть названо	3	4
13	во всяком случае	2	4
14	в этом случае	8	4
15	по отношению к	4	4
16	в этом отношении	1	4
17	в данном случае	1	4
18	можно сказать что	1	3
19	и тем не	1	3
20	но все же	3	3
21	в собственном смысле	3	3
22	в чем же	1	2
23	подобно тому как	5	2
24	до наших дней	2	2
25	это еще не	1	2
26	т д в	2	2
27	а также и	3	2
28	может быть и	2	2
29	что же касается	1	2
30	что несмотря на	1	2
31	состоит в том	2	2
32	и что следовательно	1	2
33	т д все	1	2
34	не могут быть	2	2
35	в связи с	8	2
36	в этих случаях	11	2
37	точно так же	1	2
38	с точки зрения	2	2
39	в подобных случаях	1	1
40	может быть определено	1	1
41	с самого начала	1	1
42	а потому что	1	1
43	связи с этим	4	1
44	т д словом	1	1
45	смысле слова а	1	1
46	бы то ни	3	1
47	всегда связана с	1	1
48	не свободен от	1	1
49	т е о	1	1
50	тем что она	1	1
51	один из наиболее	1	1
52	одно и то	1	1
53	раньше чем продолжать	1	1
54	после того как	1	1
55	д таким образом	1	1
56	не потому что	1	1
57	об этом сообщает	1	1
58	потому что в	1	1
59	с теми или	1	1
60	он представляет собой	1	1
61	здесь не место	1	1
62	этот вопрос мы	1	1
63	действительно представляют собой	1	1
64	к тому что	3	1
65	между тем мы	1	1
66	т д можно	1	1
67	в первом случае	3	1
68	т е не	1	1
69	с этим и	1	1
70	и то же	1	1
71	так что даже	1	1
72	может быть названа	1	1
73	так как эта	1	1
74	на самом деле	4	1
75	отличие от других	1	1
76	все же в	1	1
77	одна за другой	1	1
78	совершенно ясно что	1	1
79	могут быть названы	1	1
80	в настоящее время	3	1
81	может быть применено	1	1
82	то для того	1	1
83	более или менее	2	1
84	не значит что	2	1
85	так как эти	1	1
86	есть и другие	2	1
87	и т д.?	2	1
88	здесь не может	1	1
89	мы имеем в	1	1
90	между тем изучение	1	1
91	говорить о том	1	1
92	так как не	1	1
93	приводят к тому	1	1
94	со стороны тех	1	1
95	в том или	1	1
96	т е все	1	1
97	и есть то	1	1
98	собственном смысле слова	3	1
99	таким образом мы	5	1
100	в качестве примера	1	1
101	и как они	1	1
102	на вопрос что	1	1
103	т д таким	1	1
104	д все эти	1	1
105	в таком случае	1	1
106	то ни было	2	1
107	д но есть	1	1
108	она может быть	1	1
