N	3gram	Trubetskoy_1	EvropaiE
1	с точки зрения	8	16
2	в то же	2	15
3	то же время	2	14
4	с одной стороны	2	8
5	равноценности и качественной	2	7
6	и качественной несоизмеримости	2	6
7	в том что	15	6
8	с этой точки	1	5
9	так же как	3	5
10	этой точки зрения	1	5
11	для того чтобы	7	5
12	бы то ни	2	4
13	то ни было	2	4
14	н с трубецкой	1	3
15	свой народ и	1	3
16	можно было бы	1	3
17	друг с другом	9	3
18	во всяком случае	2	3
19	всех культур и	1	3
20	культур и народов	1	3
21	и народов земного	1	3
22	между тем в	1	3
23	как бы ни	1	3
24	заключает в себе	2	3
25	иначе обстоит дело	1	2
26	того что в	1	2
27	качественной несоизмеримости всех	1	2
28	не говоря уже	1	2
29	выпадает на долю	1	2
30	принцип равноценности и	1	2
31	только в том	1	2
32	несоизмеримости всех культур	1	2
33	военного снаряжения и	1	2
34	представителей данного народа	1	2
35	из того что	1	2
36	рано или поздно	1	2
37	тех народов которые	2	2
38	с течением времени	4	2
39	абсолютно высшее и	1	2
40	в данном случае	3	2
41	заключается в том	2	2
42	всеми или частью	1	2
43	по сравнению с	5	2
44	земного шара и	1	2
45	с другой стороны	4	2
46	не может быть	3	2
47	победы европейцев над	1	2
48	или частью представителей	1	2
49	высшее и совершенное	1	2
50	в свою очередь	2	2
51	нечто абсолютно высшее	1	2
52	хотя бы в	1	2
53	народов земного шара	1	2
54	так же мало	1	2
55	на то что	7	2
56	частью представителей данного	1	2
57	друг от друга	6	2
58	как мы видели	1	2
59	все признаваемые европейской	1	1
60	признаваемые европейской наукой	1	1
61	простое и наиболее	1	1
62	техническое приспособление и	1	1
63	и того же	3	1
64	человека этот аргумент	1	1
65	не может не	3	1
66	приходится признавать что	1	1
67	хотя и не	1	1
68	ныне существующих или	2	1
69	учреждение и техническое	1	1
70	большего или меньшего	2	1
71	культур ныне существующих	2	1
72	совершенства новый принцип	1	1
73	еще далеко не	1	1
74	славян китайцев индусов	1	1
75	культур по степеням	1	1
76	можно представить себе	1	1
77	тем меньше чем	1	1
78	народы при воспринимании	1	1
79	в своем развитии	3	1
80	культуры и в	1	1
81	дикарей грубость и	1	1
82	дело в том	1	1
83	древности были разрушены	1	1
84	механические приспособления для	1	1
85	но так как	2	1
86	фактически побеждают дикарей	1	1
87	во всех элементах	1	1
88	более или менее	7	1
89	отцами и детьми	1	1
90	приспособление и научное	1	1
91	того чтобы ответить	1	1
92	в тех случаях	1	1
93	приспособления для передвижения	1	1
94	в том же	3	1
95	в области культуры	1	1
96	но если так	1	1
97	что же касается	2	1
98	русской истории и	1	1
99	несмотря на то	2	1
100	вместо лестницы мы	1	1
101	доказательства должна быть	1	1
102	отрицательных последствий европеизации	2	1
103	весьма часто выпадает	1	1
104	собою всю культуру	1	1
105	были разрушены именно	1	1
106	культурных чем побеждаемые	1	1
107	и наивность этого	1	1
108	далеко не в	2	1
109	часто выпадает на	1	1
110	и наиболее распространенное	1	1
111	из русской истории	1	1
112	норма права и	1	1
113	доказать что культура	2	1
114	в лучшем случае	1	1
115	говоря уже о	1	1
116	том случае если	4	1
117	та же культура	1	1
118	представление о том	1	1
119	европейской культуры вполне	1	1
120	были расположены в	1	1
121	объективно доказать что	2	1
122	грубость и наивность	1	1
123	примерами из русской	1	1
124	к европейской культуре	2	1
125	ее от эгоцентризма	1	1
126	тех случаях когда	1	1
127	области культуры он	1	1
128	насколько поклонение грубой	1	1
129	градации народов и	1	1
130	народов и культур	4	1
131	сравнению с культурой	1	1
132	мы получаем горизонтальную	1	1
133	том числе и	1	1
134	и для того	1	1
135	индусов арабов негров	1	1
136	предметы военного снаряжения	1	1
137	мы говорили в	1	1
138	быть и норма	1	1
139	не есть ли	1	1
140	между отцами и	1	1
141	цивилизацию живет и	1	1
142	вопрос можно ли	1	1
143	обильно иллюстрировать примерами	1	1
144	снаряжения и механические	1	1
145	и различие между	1	1
146	европейцев над дикарями	2	1
147	менее культурных чем	1	1
148	живет и по	1	1
149	не будет уже	1	1
150	самое простое и	1	1
151	лестницы мы получаем	1	1
152	может быть и	4	1
153	лучше и совершеннее	1	1
154	многие из них	2	1
155	и норма права	1	1
156	это может быть	1	1
157	должна быть ясна	1	1
158	и по сие	1	1
159	во внимание что	1	1
160	иллюстрировать примерами из	1	1
161	как бы то	2	1
162	между тем с	1	1
163	для удовлетворения своих	1	1
164	всех прочих культур	2	1
165	культуры не будет	1	1
166	сие время в	1	1
167	на тех кто	1	1
168	племен которые создали	1	1
169	могут очищать ее	1	1
170	вопрос мы должны	1	1
171	культуры вполне могут	1	1
172	и с точки	1	1
173	чтобы ответить на	1	1
174	смысле этого слова	1	1
175	на вопрос можно	1	1
176	долю народов менее	1	1
177	ли объективно доказать	2	1
178	по сие время	1	1
179	всех элементах этой	1	1
180	различие между отцами	1	1
181	китайцев индусов арабов	1	1
182	ясна для всякого	1	1
183	во всех этих	2	1
184	в том случае	4	1
185	побеждаемые ими туземцы	1	1
186	права и художественное	1	1
187	степеням совершенства новый	1	1
188	то время как	1	1
189	по степеням совершенства	1	1
190	что в таком	1	1
191	и техническое приспособление	1	1
192	хотя бы с	1	1
193	арабов негров и	1	1
194	в течение которого	1	1
195	в связи с	3	1
196	так и для	2	1
197	том же темпе	1	1
198	ту традицию которая	1	1
199	прочих культур ныне	2	1
200	друг к другу	2	1
201	когда дело идет	1	1
202	в области техники	1	1
203	уже и сейчас	1	1
204	интересующего нас вопроса	1	1
205	заимствование отдельных элементов	1	1
206	о котором мы	1	1
207	очищать ее от	1	1
208	о которых мы	3	1
209	получаем горизонтальную плоскость	1	1
210	вместо того чтобы	1	1
211	с культурой дикарей	1	1
212	тех племен которые	1	1
213	мы видели что	1	1
214	в сознании каждого	1	1
215	есть ли это	1	1
216	на долю народов	1	1
217	совершеннее всех прочих	2	1
218	это потому что	1	1
219	же темпе как	1	1
220	европейцев и дикарей	1	1
221	культуры древности были	1	1
222	этого доказательства должна	1	1
223	что и сам	1	1
224	чем побеждаемые ими	1	1
225	в то время	2	1
226	постоянно приходится признавать	1	1
227	наиболее распространенное доказательство	1	1
228	исключительно потому что	1	1
229	этот аргумент ясно	1	1
230	та или иная	1	1
231	негров и других	1	1
232	то есть в	1	1
233	культур по признаку	1	1
234	и сейчас в	1	1
235	победа весьма часто	1	1
236	бы обильно иллюстрировать	1	1
237	истории и русской	1	1
238	при воспринимании европейской	1	1
239	народов менее культурных	1	1
240	и механические приспособления	1	1
241	именно потому что	2	1
242	не более как	2	1
243	этой культуры нечто	1	1
244	можно рассматривать как	1	1
245	культуры между тем	1	1
246	не только между	1	1
247	горизонтальную плоскость вместо	1	1
248	и учреждение и	1	1
249	одного и того	3	1
250	что победа весьма	1	1
251	характера тех племен	1	1
252	более близкие к	1	1
253	в европе и	1	1
254	сильнее чем в	1	1
255	ясность общего плана	1	1
256	в том числе	1	1
257	к тому что	1	1
258	и культур по	2	1
259	культуры нечто абсолютно	1	1
260	поклонение грубой силе	1	1
261	время в сознании	1	1
262	во многих отношениях	1	1
263	можно ли объективно	2	1
264	или вовсе не	1	1
265	элементах этой культуры	1	1
266	и русской действительности	1	1
267	новый принцип равноценности	1	1
268	руках хотя бы	1	1
269	быть ясна для	1	1
270	признавать что победа	1	1
271	древних галлов и	1	1
272	воспринимании европейской культуры	1	1
273	существовавших на земле	1	1
274	вполне могут очищать	1	1
275	к тому же	5	1
276	независимо от того	1	1
277	все более на	1	1
278	только тогда когда	1	1
279	будет тем меньше	1	1
280	наивность этого доказательства	1	1
