N	3gram	Vinokur_Ku_2	Vladivir
1	о том что	1	7
2	в том что	10	7
3	в свое время	2	5
4	дело в том	1	4
5	в этом смысле	5	4
6	то же время	3	4
7	и то что	1	4
8	на то что	2	4
9	в то же	3	4
10	том что в	1	3
11	что он не	1	3
12	в конце концов	3	3
13	и потому что	2	3
14	с другой стороны	7	3
15	не может быть	4	3
16	мы знаем что	2	2
17	он так и	1	2
18	ответ на это	1	2
19	но даже и	2	2
20	главным образом в	1	2
21	также и то	1	2
22	у нас нет	1	2
23	и в частности	1	2
24	то обстоятельство что	7	2
25	в том чтобы	1	2
26	не только в	4	2
27	в то время	1	2
28	в году в	1	2
29	и то обстоятельство	1	2
30	за это время	1	2
31	во всяком случае	5	2
32	вовсе не был	1	2
33	можно сказать что	2	2
34	тем не менее	5	2
35	бы обратить внимание	1	2
36	для того чтобы	8	2
37	к тому же	1	2
38	и т д	14	2
39	с первого же	2	2
40	потому что как	1	1
41	что иное как	1	1
42	а следовательно и	2	1
43	да и то	1	1
44	тех пор пока	1	1
45	это конечно объясняется	1	1
46	уже не может	3	1
47	и той же	1	1
48	не говоря уже	2	1
49	в самом деле	7	1
50	в настоящее время	1	1
51	в этой области	4	1
52	в лондоне и	1	1
53	в этом слове	2	1
54	дать общую характеристику	1	1
55	говоря уже о	2	1
56	в таких случаях	2	1
57	мне кажется что	1	1
58	бы то ни	1	1
59	но все это	1	1
60	только то что	1	1
61	или иначе но	1	1
62	большую роль в	1	1
63	вообще и в	1	1
64	что можно сказать	2	1
65	вместе с тем	2	1
66	такого воспитания у	1	1
67	дело не в	2	1
68	но в том	2	1
69	то время как	1	1
70	уже о том	1	1
71	эта сторона дела	1	1
72	не потому что	1	1
73	то ни было	1	1
74	с одной стороны	1	1
75	смысле этого слова	1	1
76	в связи с	3	1
77	и в первый	1	1
78	а также и	1	1
79	потому что она	1	1
80	так или иначе	2	1
81	до конца он	1	1
82	на вопросе о	1	1
83	хотя бы на	1	1
84	но только в	1	1
85	и в том	2	1
86	одной и той	1	1
87	есть не что	1	1
88	ни в каком	1	1
89	до тех пор	1	1
90	заключается в том	1	1
91	в свою очередь	2	1
92	но он не	1	1
93	один от другого	1	1
94	но и у	1	1
95	и все это	1	1
96	и никогда не	1	1
97	но и для	1	1
98	но и здесь	1	1
99	что дело не	1	1
100	но это не	1	1
101	к тому что	1	1
102	что он говорит	1	1
103	не что иное	1	1
104	в особенности же	2	1
105	на то как	1	1
106	не только у	1	1
107	потому что когда	1	1
108	т д в	1	1
109	том что и	1	1
110	в этом отношении	3	1
111	также и в	1	1
