N	3gram	Tiupa_Disk_1	OGranits
1	с точки зрения	1	5
2	не может быть	3	4
3	по отношению к	9	3
4	одно и то	1	3
5	и т.п и	1	3
6	в данном случае	2	2
7	не только его	1	2
8	с одной стороны	9	2
9	и то же	1	2
10	с другой стороны	3	2
11	того или иного	1	2
12	с самого начала	1	2
13	в том что	13	2
14	том что в	2	1
15	в одном ряду	1	1
16	только потому что	1	1
17	в произведении как	1	1
18	в хх веке	1	1
19	более или менее	2	1
20	в нем только	1	1
21	на самом деле	1	1
22	подобно тому как	2	1
23	на себя и	1	1
24	то же самое	2	1
25	но далеко не	1	1
26	и не может	1	1
27	в отличие от	4	1
28	нет и не	1	1
29	только то что	1	1
30	в этом отношении	1	1
31	в античной греции	2	1
32	ту или иную	1	1
33	в науке о	2	1
34	в каждом индивидуальном	1	1
35	далеко не всегда	1	1
36	и утверждаю что	1	1
37	один из наиболее	1	1
38	состоит в том	2	1
39	общих для них	1	1
40	тем не менее	1	1
41	и как бы	3	1
42	в связи с	1	1
43	а не как	1	1
44	прежде всего в	1	1
45	в тех случаях	1	1
46	то же время	4	1
47	в конечном счете	1	1
48	и один из	1	1
49	несмотря на все	1	1
50	на то что	1	1
51	тех случаях когда	1	1
52	в то же	3	1
53	тех или иных	1	1
54	как и в	1	1
