N	3gram	Savitsky_E_1	VLabPisa
1	и т д	1	15
2	в этом отношении	3	13
3	с другой стороны	2	8
4	не может быть	2	8
5	более или менее	1	6
6	хотя бы и	3	5
7	то же время	14	5
8	в то же	15	5
9	не могут быть	1	4
10	в связи с	1	4
11	можно сказать что	3	4
12	в том что	6	4
13	в силу этого	1	3
14	можно утверждать что	1	3
15	и в то	8	3
16	в значительной мере	1	3
17	мы видели что	1	3
18	большей или меньшей	1	3
19	в одном из	2	3
20	хотя бы в	2	3
21	к тому что	1	3
22	в основных чертах	1	3
23	не может не	1	2
24	одной стороны и	6	2
25	чуть ли не	1	2
26	также и в	1	2
27	в том числе	1	2
28	можно было бы	3	2
29	в этом процессе	1	2
30	говорить не о	1	2
31	в самом понятии	1	2
32	или меньшей степени	1	2
33	с одной стороны	8	2
34	во всех этих	1	2
35	в большей или	1	2
36	во всяком случае	3	2
37	этой точки зрения	5	2
38	в частности в	2	2
39	том числе и	1	2
40	для того чтобы	5	2
41	и связанное с	1	1
42	том смысле что	1	1
43	на этот вопрос	1	1
44	хотя и не	1	1
45	следует отметить что	1	1
46	в той или	3	1
47	только в пределах	1	1
48	другой стороны в	1	1
49	и ту же	1	1
50	хотя бы отчасти	2	1
51	то время как	1	1
52	может быть сведена	1	1
53	как это мы	1	1
54	в этом смысле	3	1
55	т е не	1	1
56	в соответствии с	1	1
57	что для него	1	1
58	в том же	1	1
59	и в качестве	1	1
60	же как и	3	1
61	с этой точки	5	1
62	если так то	1	1
63	совершенно очевидно что	1	1
64	говоря уже о	1	1
65	но и в	1	1
66	только в том	2	1
67	то что в	2	1
68	кроме того что	1	1
69	очевидно также что	1	1
70	может быть и	1	1
71	в противном случае	1	1
72	то или иное	1	1
73	сводится именно к	1	1
74	есть то что	1	1
75	ту или иную	3	1
76	к двум основным	1	1
77	в применении к	3	1
78	в формировании и	1	1
79	того что мы	1	1
80	в данном случае	2	1
81	значит ли это	1	1
82	но в то	2	1
83	не только в	4	1
84	чтобы ответить на	1	1
85	и не быть	1	1
86	так же как	5	1
87	по сравнению с	2	1
88	как сказал бы	1	1
89	хотя бы с	1	1
90	быть сведена к	1	1
91	и поэтому в	1	1
92	с другой в	1	1
93	в качестве общего	1	1
94	отцов и детей	1	1
95	более высокой и	1	1
96	качестве одной из	1	1
97	того или иного	4	1
98	очевидно что в	2	1
99	при соприкосновении с	1	1
100	в то время	1	1
101	не говоря уже	2	1
102	не дает оснований	1	1
103	в свою очередь	2	1
104	та или иная	1	1
105	но и для	1	1
106	на то или	1	1
107	той или иной	4	1
108	ли это что	1	1
109	в том смысле	1	1
110	но было бы	2	1
111	одну и ту	1	1
112	к тому же	1	1
113	только тогда когда	1	1
114	в качестве одной	1	1
115	заключает в себе	3	1
