N	3gram	Vinokur_St_3	Istorich
1	и т д	2	16
2	с другой стороны	4	8
3	во всех этих	2	6
4	не только в	3	5
5	о том что	4	5
6	с одной стороны	2	4
7	что у него	1	4
8	мы имеем в	2	4
9	тем не менее	2	4
10	в том что	11	4
11	этой точки зрения	1	3
12	то что в	1	3
13	с этой точки	1	3
14	не может быть	5	3
15	дело не в	1	3
16	даже там где	1	2
17	то время как	4	2
18	между прочим и	1	2
19	в одной из	1	2
20	и в других	1	2
21	но и в	2	2
22	но это не	3	2
23	до сих пор	2	2
24	в том чтобы	2	2
25	ответ на вопрос	1	2
26	одна из этих	1	2
27	в этом и	1	2
28	в то время	4	2
29	у него есть	2	2
30	но все же	2	2
31	и в конце	1	1
32	об этом очень	1	1
33	от этого становится	1	1
34	так что он	1	1
35	с точки зрения	4	1
36	а она ему	1	1
37	состоит в том	3	1
38	есть и такие	1	1
39	а не в	1	1
40	но так как	1	1
41	и может быть	1	1
42	в самом деле	1	1
43	тем что это	1	1
44	то же самое	1	1
45	он не может	1	1
46	что ни в	1	1
47	то же можно	1	1
48	отсюда же объясняется	1	1
49	то это означало	1	1
50	ответить на вопрос	1	1
51	связанные с этим	1	1
52	независимо от того	2	1
53	том что именно	1	1
54	и т п	6	1
55	от них и	1	1
56	что мы знаем	1	1
57	он может создать	1	1
58	не знает что	1	1
59	можно было бы	1	1
60	а иногда и	1	1
61	и не в	2	1
62	говорит о том	1	1
63	вместе с тем	1	1
64	том что такое	1	1
65	в самом начале	1	1
66	нельзя не отметить	1	1
67	обращает на себя	1	1
68	же можно сказать	1	1
69	в некоторых случаях	1	1
70	и что он	1	1
71	может быть это	3	1
72	это не так	2	1
73	в связи с	3	1
74	то что он	1	1
75	мы знаем об	1	1
76	это означало бы	1	1
77	мы имеем здесь	1	1
78	примеры показывают что	1	1
79	на вопрос что	1	1
80	не так существенно	1	1
81	не только у	1	1
82	же самое и	1	1
83	на вопрос о	1	1
84	до наших дней	1	1
85	более или менее	1	1
86	из этих форм	1	1
87	но уже в	1	1
88	в этом же	1	1
89	дело так что	1	1
90	и здесь следует	1	1
91	и что если	1	1
92	можно сказать относительно	1	1
93	сих пор мы	1	1
94	вопрос о том	1	1
95	совершенно очевидно что	1	1
96	к тому что	2	1
97	как мы видели	1	1
98	вместе со своим	1	1
