N	2gram	Tiupa_Vved_1	KFilosof
1	может быть	18	43
2	в его	4	39
3	в нем	5	31
4	не может	7	27
5	в бытии	1	26
6	и не	12	26
7	по отношению	7	25
8	и в	13	22
9	в себе	5	21
10	в котором	8	21
11	отношению к	7	21
12	для меня	1	20
13	и его	5	17
14	в ее	1	17
15	а не	15	17
16	только в	6	16
17	в этом	21	13
18	точки зрения	1	13
19	но не	5	12
20	для него	3	12
21	все эти	1	11
22	в своей	5	11
23	не в	6	11
24	к нему	1	11
25	во всех	2	10
26	в едином	3	10
27	в своем	5	10
28	это не	6	10
29	от себя	1	10
30	все это	1	10
31	в их	1	9
32	в целом	3	9
33	и единственном	1	9
34	но и	19	9
35	как бы	4	9
36	и для	3	9
37	и все	4	9
38	лишь в	2	8
39	было бы	4	8
40	мир в	1	8
41	если бы	7	8
42	со стороны	5	8
43	не было	2	8
44	жизни и	7	8
45	то что	6	7
46	во всем	1	7
47	должен быть	1	7
48	на основе	1	7
49	что и	2	7
50	себя в	1	7
51	вовсе не	1	7
52	быть только	2	7
53	отношение к	2	6
54	отнюдь не	7	6
55	мира в	8	6
56	он не	3	6
57	в мире	8	6
58	и только	1	6
59	уже не	5	6
60	и их	1	6
61	ко мне	1	6
62	но это	3	6
63	в том	10	6
64	от своей	1	5
65	мы имеем	5	5
66	жизни как	1	5
67	но как	1	5
68	все же	6	5
69	действительного мира	1	5
70	но в	6	5
71	не только	20	5
72	то же	5	5
73	как и	11	5
74	что я	1	5
75	от его	1	5
76	не имеет	2	5
77	никогда не	4	5
78	в событии	4	5
79	для себя	1	5
80	с ним	3	5
81	бытия в	2	5
82	в контексте	1	5
83	событие в	1	5
84	в основе	3	5
85	хотя бы	1	5
86	жизни в	4	5
87	не знает	1	5
88	как его	2	4
89	это мир	2	4
90	при этом	26	4
91	не как	2	4
92	здесь мы	1	4
93	бы быть	1	4
94	входит в	1	4
95	место в	2	4
96	тем самым	5	4
97	к ним	2	4
98	не по	1	4
99	в категориях	2	4
100	и т.д	5	4
101	времени и	7	4
102	мира и	2	4
103	между тем	1	4
104	во всей	1	4
105	могло бы	3	4
106	в одном	1	4
107	бытия но	1	4
108	том что	7	4
109	для нас	2	4
110	а в	6	4
111	что в	3	4
112	в своих	2	4
113	самом деле	3	3
114	на самом	4	3
115	должна быть	2	3
116	для которого	3	3
117	мы не	4	3
118	что это	1	3
119	в ней	4	3
120	еще не	7	3
121	и на	3	3
122	не могу	1	3
123	события в	1	3
124	к чему	1	3
125	бы и	4	3
126	бы не	2	3
127	всех этих	1	3
128	в корне	1	3
129	из него	1	3
130	людей и	1	3
131	могла бы	3	3
132	себя не	1	3
133	этом смысле	1	3
134	эти моменты	1	3
135	не менее	4	3
136	мира не	2	3
137	меня не	1	3
138	в единство	1	3
139	в час	1	3
140	могут быть	4	3
141	здесь не	2	3
142	с человеком	2	3
143	в виду	1	3
144	о том	5	3
145	положения и	1	3
146	того что	6	3
147	в современной	3	3
148	быть и	2	3
149	а лишь	2	3
150	действительной жизни	1	3
151	и тем	2	3
152	тем что	2	3
153	что не	1	3
154	до конца	3	3
155	и жизни	1	3
156	событие бытия	1	3
157	ценностным центром	1	3
158	ближе к	1	3
159	по своему	2	3
160	котором он	2	3
161	не должен	1	3
162	только с	1	3
163	в свою	4	3
164	в то	4	3
165	он может	1	2
166	едва ли	3	2
167	есть на	1	2
168	и должен	1	2
169	а как	1	2
170	на первом	1	2
171	в данном	13	2
172	к которой	1	2
173	один и	1	2
174	смысловой значимости	1	2
175	как в	4	2
