N	3gram	Vinokur_St_1	Myslijsy
1	сами по себе	1	7
2	во всяком случае	6	7
3	в том что	17	7
4	по крайней мере	2	5
5	тем не менее	2	5
6	а между тем	1	4
7	до сих пор	7	4
8	в то время	2	4
9	в том смысле	2	4
10	на то что	4	3
11	то время как	1	3
12	с одной стороны	2	3
13	смысле этого слова	1	3
14	и т п	9	3
15	как бы ни	1	3
16	и т д	21	3
17	то все же	1	2
18	что в слове	1	2
19	на самом деле	6	2
20	как и во	1	2
21	после того как	1	2
22	то что в	2	2
23	том смысле как	1	2
24	не в том	2	2
25	с другой стороны	6	2
26	для того чтобы	10	2
27	то же время	4	2
28	в одно целое	1	2
29	так и в	4	2
30	не может быть	5	2
31	в этом смысле	1	2
32	в то же	4	2
33	и не имеет	1	2
34	таким образом в	1	2
35	непосредственно вытекает из	1	1
36	указание на то	1	1
37	дело в том	4	1
38	что это не	2	1
39	явления до сих	1	1
40	в таком виде	1	1
41	но даже и	1	1
42	выйти за пределы	1	1
43	есть такой же	1	1
44	и та и	1	1
45	том что он	1	1
46	о том как	1	1
47	т д и	2	1
48	что же касается	3	1
49	потому что не	1	1
50	друг от друга	1	1
51	в наших глазах	2	1
52	ни одно из	1	1
53	приводит в пример	1	1
54	только в том	3	1
55	но если это	2	1
56	и в других	1	1
57	в таких случаях	1	1
58	во втором случае	2	1
59	прежде всего его	1	1
60	бы то ни	1	1
61	обратить внимание на	1	1
62	та и другая	1	1
63	но это не	1	1
64	виде в каком	1	1
65	в той мере	1	1
66	и не может	1	1
67	столь же несомненно	1	1
68	что в сознании	1	1
69	и не в	1	1
70	в том случае	1	1
71	но с другой	2	1
72	на мой взгляд	1	1
73	том что здесь	2	1
74	как и в	2	1
75	той мере в	1	1
76	из них это	1	1
77	имеет ничего общего	2	1
78	в том как	3	1
79	в применении к	3	1
80	то что он	1	1
81	то тем самым	1	1
82	во всех этих	1	1
83	и находя в	1	1
84	мере в какой	2	1
85	что оно совершенно	1	1
86	не имеет ничего	2	1
87	но это его	1	1
88	на вопрос о	2	1
89	не менее и	1	1
90	если бы и	2	1
91	далеко не все	1	1
92	вряд ли можно	1	1
93	а в том	1	1
94	но столь же	1	1
95	в наше время	1	1
96	не могут и	1	1
97	том смысле что	1	1
98	в том чтобы	1	1
99	даже и в	1	1
100	она ни была	1	1
101	в этом случае	2	1
102	ни для кого	1	1
103	о том что	11	1
104	ничего общего с	3	1
105	в одном из	1	1
106	и в самом	3	1
107	что и в	4	1
108	того как он	1	1
109	вопрос о том	2	1
110	но все эти	1	1
111	мысль о том	1	1
112	но все же	3	1
113	для кого не	1	1
114	мы говорим о	1	1
115	первой из этих	1	1
116	во многих случаях	2	1
117	во всех случаях	1	1
118	и в этом	3	1
119	что у нас	1	1
120	не имел бы	1	1
