N	2gram	Kanaev_Sov_1	Sotsiolo
1	все это	3	7
2	в том	4	5
3	в этом	7	5
4	метод в	1	4
5	и только	1	3
6	для нас	3	3
7	не только	4	3
8	и в	7	3
9	но ведь	1	3
10	не в	3	3
11	в его	2	3
12	и мы	3	2
13	было бы	3	2
14	к которому	1	2
15	она может	2	2
16	только в	1	2
17	нашей науки	1	2
18	в результате	6	2
19	том что	1	2
20	и что	2	2
21	еще не	3	2
22	ведь это	3	2
23	таким образом	11	2
24	это и	1	2
25	отношению к	1	2
26	в конце	3	2
27	что в	2	2
28	может быть	12	2
29	как бы	4	2
30	по отношению	1	2
31	по существу	1	2
32	то же	3	2
33	не из	1	1
34	крайней мере	1	1
35	что все	2	1
36	по себе	1	1
37	диалектического материализма	1	1
38	в мире	1	1
39	в этой	3	1
40	отнюдь не	3	1
41	этой области	1	1
42	возможность именно	1	1
43	же этот	1	1
44	с другой	1	1
45	его в	1	1
46	дает нам	2	1
47	ровно ничего	1	1
48	с ним	1	1
49	это не	4	1
50	на этот	2	1
51	именно в	1	1
52	научного исследования	2	1
53	все же	3	1
54	один из	1	1
55	и есть	2	1
56	в то	1	1
57	мысли в	1	1
58	тем же	2	1
59	и наконец	5	1
60	случае только	1	1
61	том как	1	1
62	в процессе	1	1
63	на ней	1	1
64	условий то	1	1
65	прежде всего	5	1
66	не было	1	1
67	одной стороны	1	1
68	те же	1	1
69	но только	1	1
70	научной мысли	1	1
71	и не	6	1
72	никогда не	1	1
73	основной вопрос	3	1
74	мы не	9	1
75	это как	1	1
76	же время	1	1
77	ничего не	6	1
78	развития и	1	1
79	все эти	5	1
80	все построение	1	1
81	как и	6	1
82	между собой	3	1
83	или нет	1	1
84	с помощью	4	1
85	в настоящее	2	1
86	мы должны	4	1
87	их на	1	1
88	конечно не	1	1
89	в связи	1	1
90	и его	1	1
91	связи с	1	1
92	наука но	1	1
93	в целом	4	1
94	для наших	1	1
95	не может	17	1
96	и должно	1	1
97	а в	4	1
98	работы в	1	1
99	благодаря этому	1	1
100	что она	3	1
101	о том	1	1
102	по самому	1	1
103	не дает	2	1
104	в области	3	1
105	и потому	3	1
106	же это	4	1
107	настоящее время	2	1
108	между ними	1	1
109	и благодаря	1	1
110	может не	3	1
111	всяком случае	2	1
112	когда мы	3	1
113	в область	1	1
114	в конечном	1	1
115	что это	2	1
116	вовсе не	1	1
117	же самое	2	1
118	положительная ценность	1	1
119	с одной	2	1
120	в заключение	1	1
121	может развиваться	1	1
122	но не	1	1
123	у него	2	1
124	подвести итоги	1	1
125	в виде	2	1
126	этого и	1	1
127	в данном	1	1
128	но как	1	1
129	и по	2	1
130	и им	1	1
131	конечном счете	1	1
132	по крайней	1	1
133	и более	1	1
134	во всяком	2	1
135	и будет	2	1
136	в каждом	8	1
137	они не	1	1
138	это значит	1	1
