N	3gram	Tiupa_Anal_1	VeschiIm
1	не может быть	16	18
2	бы то ни	3	9
3	то ни было	3	9
4	что иное как	5	8
5	не что иное	4	8
6	по крайней мере	1	6
7	в том что	9	6
8	одно и то	1	5
9	и то же	1	5
10	есть не что	3	5
11	в свою очередь	1	5
12	с точки зрения	4	4
13	что не есть	1	4
14	не только в	1	4
15	то же время	6	4
16	в то же	8	4
17	более или менее	1	3
18	в самом деле	2	3
19	подобно тому как	3	3
20	сам по себе	1	3
21	из того что	3	3
22	в собственном смысле	1	3
23	не предполагает что	1	3
24	вместе с тем	1	3
25	все же не	1	3
26	не есть вещь	2	3
27	в отрыве от	2	3
28	этой точки зрения	1	2
29	но то что	1	2
30	о том как	1	2
31	в основе своей	2	2
32	с этой точки	1	2
33	и в частности	1	2
34	в вещи и	1	2
35	в данном случае	2	2
36	в первом случае	2	2
37	если не будет	1	2
38	и таким образом	1	2
39	принципиально не может	1	2
40	к тому что	1	2
41	вещи но и	1	2
42	должно быть понято	1	2
43	отнюдь не предполагает	2	1
44	и того же	2	1
45	имеет дело с	1	1
46	того что в	2	1
47	оно может быть	1	1
48	я начинаю понимать	1	1
49	а не в	3	1
50	далеко не все	1	1
51	как и во	1	1
52	в этом смысле	1	1
53	том что он	2	1
54	как раз и	1	1
55	до сих пор	1	1
56	и не может	4	1
57	силу тех или	1	1
58	в зависимости от	1	1
59	сами по себе	2	1
60	в той же	1	1
61	что как бы	1	1
62	лишь одна из	1	1
63	разумеется нет и	1	1
64	ни с какой	1	1
65	однако при всем	1	1
66	как к чему-то	1	1
67	та и другая	1	1
68	в силу тех	1	1
69	не есть она	1	1
70	в настоящий момент	1	1
71	она может быть	1	1
72	и не в	4	1
73	должен быть и	1	1
74	того что мы	1	1
75	или хотя бы	1	1
76	есть вещь но	1	1
77	в том чтобы	7	1
78	но в то	2	1
79	зачем же нам	1	1
80	с одной стороны	3	1
81	смысле этого слова	1	1
82	личности а не	2	1
83	во втором случае	1	1
84	и как бы	1	1
85	по природе своей	2	1
86	не в том	3	1
87	какой бы то	2	1
88	вещи и не	1	1
89	отнюдь не всегда	1	1
90	что же оно	1	1
91	ни на что	1	1
92	с другой стороны	2	1
93	на что не	1	1
94	на вопрос о	1	1
95	для логического анализа	1	1
96	как и кантовские	1	1
97	и все же	2	1
98	самим по себе	1	1
99	во всяком случае	1	1
100	но все те	1	1
101	и вместе с	1	1
102	о том что	3	1
103	он не есть	1	1
104	из себя в	1	1
105	одного и того	2	1
106	для того чтобы	3	1
107	чего бы то	1	1
108	вещей но в	1	1
109	тех или иных	2	1
110	может быть ни	1	1
111	друг с другом	1	1
112	в себе в	1	1
113	и та и	1	1
114	она есть нечто	1	1
115	есть она сама	1	1
116	только тогда когда	1	1
