N	3gram	Bakhtin_KF_1	Problema
1	с точки зрения	9	8
2	в том что	2	8
3	тем не менее	2	5
4	людей и их	1	3
5	в настоящее время	1	3
6	в этом смысле	3	3
7	и то что	1	3
8	на первом плане	2	3
9	может быть только	7	3
10	вместе с тем	1	3
11	а именно в	1	3
12	только тогда когда	1	3
13	это уже не	1	2
14	дело в том	1	2
15	по отношению к	22	2
16	равно как и	1	2
17	бы то ни	2	2
18	и не в	1	2
19	не может быть	11	2
20	во всяком случае	1	2
21	на то что	1	2
22	для того чтобы	1	2
23	человека но не	1	1
24	в чем не	4	1
25	то что я	2	1
26	зависит от того	1	1
27	на самом деле	3	1
28	в нем и	3	1
29	не было и	1	1
30	здесь вовсе не	1	1
31	между тем как	3	1
32	но это не	1	1
33	то что этот	1	1
34	здесь не в	1	1
35	несмотря на то	1	1
36	ту или иную	1	1
37	я есмь и	1	1
38	не потому что	1	1
39	но в то	1	1
40	то ни было	2	1
41	в самом своем	1	1
42	и в его	1	1
43	на задний план	1	1
44	ничего общего не	2	1
45	и в этом	3	1
46	и как бы	1	1
47	уже не в	1	1
48	не содержится в	1	1
49	с ним в	1	1
50	ни в чем	4	1
51	ясно что это	1	1
52	то же время	2	1
53	по себе а	1	1
54	то или иное	2	1
55	вопрос о том	2	1
56	той или иной	2	1
57	не менее в	1	1
58	оставить в стороне	1	1
59	в большинстве случаев	1	1
60	в то же	2	1
61	то что и	1	1
62	в том смысле	1	1
63	и все же	1	1
64	как одно из	1	1
65	общего не имеет	1	1
