N	2gram	Bakhtin_sl_1	Komedia
1	и в	41	22
2	том что	2	12
3	в том	3	11
4	но и	16	11
5	в то	14	10
6	не только	16	10
7	из них	3	10
8	как и	4	9
9	и т	28	9
10	может быть	14	9
11	таким образом	9	8
12	в одном	2	8
13	и не	16	8
14	и его	14	8
15	о том	3	8
16	в этой	1	7
17	и других	3	7
18	в которой	4	6
19	а в	6	6
20	не в	7	6
21	в отношении	6	6
22	то же	14	6
23	к тому	3	6
24	ни в	1	6
25	такого рода	2	6
26	одного из	2	6
27	и по	2	6
28	о которых	1	5
29	со своим	5	5
30	на его	8	5
31	т п	23	5
32	так и	11	5
33	потому что	2	5
34	в истории	3	5
35	между тем	2	5
36	и даже	6	5
37	в его	13	5
38	прежде всего	8	5
39	один из	4	5
40	другой стороны	4	5
41	при этом	6	5
42	с другой	5	5
43	то время	2	5
44	все это	5	5
45	как в	8	5
46	в в	1	4
47	же время	12	4
48	в другом	2	4
49	т д	5	4
50	время как	2	4
51	точки зрения	16	4
52	в нем	30	4
53	так в	2	4
54	в их	4	4
55	на протяжении	2	4
56	к этому	2	4
57	но в	8	4
58	как мы	8	4
59	в качестве	3	4
60	что они	2	4
61	в котором	2	4
62	из его	1	4
63	именно в	3	4
64	что и	1	4
65	в результате	3	4
66	несмотря на	1	4
67	же в	1	4
68	а также	2	4
69	одном из	1	4
70	так как	3	4
71	каждый из	1	3
72	все же	7	3
73	остаться в	1	3
74	и с	4	3
75	в свои	1	3
76	хотя и	2	3
77	место в	1	3
78	одной из	3	3
79	так же	2	3
80	в более	1	3
81	и одновременно	2	3
82	чаще всего	1	3
83	и ее	3	3
84	не менее	1	3
85	и все	4	3
86	на то	1	3
87	в виде	2	3
88	и у	2	3
89	всего в	1	3
90	в сознании	2	3
91	как раз	2	3
92	даже в	2	3
93	мы не	2	3
94	отношение к	7	3
95	могут быть	19	3
96	на всю	3	3
97	его в	3	3
98	в течение	1	3
99	здесь в	4	3
100	в начале	1	3
101	как из	1	3
102	и сам	3	3
103	в этом	12	3
104	у нас	2	3
105	тот же	1	3
106	и о	2	3
107	да и	1	3
108	ничего не	4	3
109	только в	6	3
110	в последних	1	3
111	в них	6	3
112	или вовсе	2	3
113	одной стороны	4	3
114	в целом	2	3
115	у него	3	3
116	же как	2	3
117	с одной	4	3
118	по своему	2	3
119	этом отношении	1	3
120	и на	14	3
121	он не	3	3
122	в частности	2	3
123	однако в	1	3
124	мы найдем	3	2
125	в споре	1	2
126	точек зрения	5	2
127	что по	1	2
128	в себе	3	2
129	и здесь	3	2
130	во всяком	7	2
131	в первые	1	2
132	тех же	1	2
133	но он	2	2
134	аналогии с	1	2
135	бы то	1	2
136	того же	6	2
137	в состоянии	1	2
138	именно на	1	2
139	не может	14	2
