N	2gram	Losev_Vlad_2	VLabPisa
1	таким образом	3	27
2	в этом	20	26
3	и в	30	25
4	и т	1	24
5	не только	12	22
6	может быть	7	21
7	во сне	2	21
8	хотя бы	3	20
9	и не	18	19
10	не может	9	17
11	т д	1	15
12	в его	11	15
13	в письме	8	14
14	этом отношении	1	13
15	в том	18	13
16	прежде всего	6	13
17	в частности	2	12
18	как это	7	12
19	все это	5	12
20	вот что	4	11
21	из них	1	11
22	в качестве	1	10
23	не могут	1	10
24	о том	4	10
25	письме к	4	10
26	то же	4	9
27	что в	12	9
28	об этом	6	9
29	по этому	1	9
30	для него	9	9
31	т п	1	9
32	но и	8	9
33	и др	1	9
34	к этому	6	9
35	в своем	8	8
36	все эти	5	8
37	на основании	1	8
38	в году	24	7
39	во всех	3	7
40	он пишет	2	7
41	из этих	3	7
42	было бы	9	7
43	как и	5	7
44	том что	12	7
45	этому поводу	1	7
46	не было	10	7
47	а не	7	7
48	вместе с	8	7
49	же в	2	7
50	более или	3	6
51	в себе	6	6
52	в нем	4	6
53	главным образом	1	6
54	это не	2	6
55	или менее	3	6
56	их в	2	6
57	том же	3	6
58	и его	6	6
59	в то	9	6
60	так и	5	6
61	в порядке	1	6
62	бы и	1	6
63	у него	19	6
64	в основном	5	6
65	то что	20	6
66	одним из	1	5
67	и есть	2	5
68	действительности и	1	5
69	в их	2	5
70	как говорит	1	5
71	все же	9	5
72	и при	2	5
73	не в	9	5
74	же время	3	5
75	связи с	8	5
76	он же	2	5
77	произведения как	1	5
78	он говорит	1	5
79	как бы	5	5
80	в результате	5	5
81	сказать что	11	5
82	только в	6	5
83	с его	4	4
84	в этой	4	4
85	чем же	1	4
86	перед нами	1	4
87	когда он	1	4
88	в самом	2	4
89	в целом	4	4
90	в статье	2	4
91	что все	1	4
92	них не	1	4
93	в них	3	4
94	даже в	2	4
95	никогда не	7	4
96	к тому	2	4
97	утверждать что	1	4
98	можно сказать	4	4
99	что он	13	4
100	в одном	1	4
101	как раз	1	4
102	в связи	8	4
103	равно как	1	4
104	в своей	5	4
105	например в	1	3
106	в котором	5	3
107	из его	2	3
108	его не	2	3
109	и он	4	3
110	в которых	1	3
111	но как	1	3
112	нет и	1	3
113	что они	1	3
114	с этим	5	3
115	мая года	2	3
116	и как	3	3
117	и к	6	3
118	в противоположность	1	3
119	всех этих	3	3
120	и по	2	3
121	в работе	2	3
122	его в	4	3
123	далеко не	1	3
124	что не	2	3
125	с тем	2	3
126	мы видели	2	3
127	во время	1	3
128	точки зрения	7	3
129	и ее	1	3
130	это делает	1	3
131	к н	5	3
132	а вот	2	3
133	как о	1	3
134	это мы	5	3
135	к работе	1	3
136	сводится к	1	3
137	не столь	1	3
138	у нас	6	3
139	значит и	1	3
140	она не	2	3
141	а значит	1	3
142	том как	1	3
143	в виду	2	3
144	никак не	3	3
145	что и	3	3
146	говорит в	1	3
147	того что	5	3
148	этот вопрос	1	3
149	января года	3	3
150	и их	1	3
151	даже и	3	3
152	в конце	13	3
153	что пишет	4	3
154	именно в	4	3
155	мы знаем	4	3
156	можно утверждать	1	3
157	него в	4	3
158	так же	4	3
159	о работе	1	3
160	по поводу	4	3
161	пишет в	1	3
162	по существу	3	3
163	толстого в	1	3
164	при всем	1	3
165	и от	2	3
166	видно из	2	3
167	жизни и	6	3
168	ее в	1	3
169	к с	7	2
170	смысле слова	1	2
171	частности к	1	2
172	как известно	1	2
173	также что	2	2
174	также и	6	2
175	н ф	5	2
176	пишет о	1	2
177	и этот	1	2
178	по его	1	2
179	а как	1	2
180	мы имеем	1	2
181	в которой	4	2
182	из своих	1	2
183	говорить о	1	2
184	но даже	1	2
185	то это	4	2
186	разобраться в	1	2
187	в ней	4	2
188	еще не	1	2
189	что его	4	2
190	в чем	2	2
191	чуть ли	1	2
192	но не	3	2
193	если в	1	2
194	в общем	2	2
195	том числе	1	2
196	за эти	2	2
197	что нет	1	2
198	этом же	1	2
199	хотя и	6	2
200	как процесс	1	2
201	но в	8	2
202	с нею	1	2
203	он в	1	2
204	как он	2	2
205	что она	1	2
206	три года	2	2
207	после этого	1	2
208	он не	4	2
209	том чтобы	2	2
210	так например	1	2
211	им как	1	2
212	и дальше	1	2
213	говорил что	1	2
214	заключается в	2	2
215	и отдельные	1	2
216	в жизни	1	2
217	он и	3	2
218	между собою	1	2
219	и для	3	2
220	года и	1	2
221	что такое	1	2
