N	3gram	Berdyaev_N_1	DiskursI
1	в отличие от	1	12
2	в том что	1	6
3	как и в	1	5
4	с одной стороны	2	4
5	о том что	1	3
6	не может быть	4	3
7	подобно тому как	3	2
8	и того же	1	2
9	и не может	1	2
10	по природе своей	1	2
11	одного и того	1	2
12	в наше время	3	2
13	заключает в себе	1	2
14	для этого она	1	1
15	в том числе	1	1
16	в большинстве случаев	1	1
17	в переходе от	1	1
18	не должно быть	1	1
19	равно как и	2	1
20	с другой стороны	2	1
21	тому как в	1	1
22	жизни с его	1	1
23	такой же мере	1	1
24	в такой же	1	1
25	в значительной степени	1	1
26	лицом к лицу	3	1
27	как будто бы	1	1
28	то что в	1	1
29	обращение к богу	1	1
30	ни в чем	1	1
31	и в большинстве	1	1
32	не могут быть	1	1
33	мира то что	1	1
34	та или иная	1	1
35	по своей природе	1	1
36	не в том	1	1
37	не имеют никакого	1	1
38	том числе и	1	1
39	но для этого	1	1
40	во всяком случае	1	1
41	к одному из	1	1
