N	3gram	Berdyaev_M_2	Dialekti
1	с точки зрения	1	14
2	что иное как	3	6
3	не может быть	8	6
4	не что иное	3	6
5	сам по себе	1	5
6	о том что	2	5
7	подобно тому как	2	4
8	т е в	2	4
9	сама по себе	1	4
10	не есть ни	1	3
11	в том что	2	3
12	есть не что	3	3
13	как и в	2	3
14	на то что	1	3
15	только тогда когда	1	3
16	но что это	1	2
17	она и есть	1	2
18	как и все	1	2
19	так же как	3	2
20	и в этом	3	2
21	что это не	2	2
22	есть не только	1	2
23	что же такое	1	2
24	не может существовать	1	2
25	это и есть	3	2
26	той или иной	1	2
27	к тому что	3	2
28	но это –	1	2
29	том что в	1	1
30	а следовательно и	1	1
31	в этом мире	1	1
32	одном из самых	1	1
33	потому что в	1	1
34	и той же	2	1
35	на наших глазах	1	1
36	на самом деле	1	1
37	с особенной силой	1	1
38	же как и	3	1
39	то я не	1	1
40	до сих пор	3	1
41	друг на друга	1	1
42	и та же	2	1
43	на что не	1	1
44	в этом отношении	1	1
45	он хочет быть	1	1
46	для себя и	1	1
47	есть и в	1	1
48	все что было	2	1
49	не вижу и	1	1
50	личности и ее	1	1
51	не выходит из	1	1
52	чтобы не было	1	1
53	жизни он не	1	1
54	– я сам	1	1
55	у нее нет	1	1
56	они должны быть	1	1
57	то стало быть	1	1
58	и есть свобода	1	1
59	не имеет своего	1	1
60	не в силах	1	1
61	ни на что	1	1
62	и в основе	1	1
63	одна и та	2	1
64	я не могу	1	1
65	у нас не	2	1
66	но так как	1	1
67	и что же	1	1
68	не мог бы	1	1
69	ни в чем	2	1
70	в нем нет	2	1
71	от того что	3	1
72	ну и что	1	1
73	что это –	1	1
74	что он существует	1	1
75	не может нас	1	1
76	и никогда не	2	1
77	что у него	1	1
78	это – чисто	1	1
79	том что все	1	1
80	лежит и в	1	1
81	и в движении	1	1
82	одной и той	2	1
83	что и в	4	1
