N	2gram	Vinokur_St_3	OGranits
1	и в	25	13
2	и его	3	12
3	прежде всего	10	9
4	может быть	19	8
5	не может	7	8
6	и не	10	8
7	в его	12	7
8	и их	1	7
9	и пр	13	7
10	точки зрения	7	7
11	только в	6	6
12	как бы	6	6
13	не только	12	6
14	то что	12	6
15	таким образом	10	6
16	и т.д	1	5
17	все же	4	5
18	и наконец	3	5
19	в поэзии	2	5
20	с точки	4	5
21	хотя бы	1	5
22	и эта	1	5
23	мы не	2	4
24	произведения как	2	4
25	еще и	1	4
26	на фоне	1	4
27	но в	5	4
28	то же	5	4
29	лишь в	4	4
30	в своей	4	4
31	было бы	7	4
32	все это	8	4
33	в выборе	2	4
34	в двух	1	4
35	не является	3	4
36	вполне понятно	1	4
37	в каждом	4	4
38	вряд ли	1	3
39	связана с	4	3
40	и то	1	3
41	в ее	1	3
42	самом деле	2	3
43	в пределах	1	3
44	так и	5	3
45	г в	6	3
46	при анализе	1	3
47	говорить о	3	3
48	в их	3	3
49	за пределы	1	3
50	с этим	7	3
51	из статьи	1	3
52	в которой	4	3
53	не как	2	3
54	в одном	1	3
55	так как	3	3
56	но и	9	3
57	слово в	2	3
58	как и	4	3
59	точку зрения	2	3
60	что же	1	3
61	не в	6	3
62	но для	1	3
63	и для	4	3
64	никогда не	2	3
65	и все	1	3
66	не столько	2	3
67	что в	19	3
68	смысле слова	1	2
69	для себя	1	2
70	и др	4	2
71	в произведении	1	2
72	и может	2	2
73	и этот	1	2
74	конечно в	1	2
75	те же	1	2
76	есть не	1	2
77	если бы	4	2
78	с самого	2	2
79	и должно	1	2
80	в ней	4	2
81	ее в	2	2
82	а также	4	2
83	в чем	4	2
84	между тем	6	2
85	в общем	4	2
86	в языке	8	2
87	во всей	1	2
88	что они	2	2
89	к сожалению	2	2
90	чем же	1	2
91	как в	6	2
92	только ее	1	2
93	в данном	1	2
94	в этом	24	2
95	но так	1	2
96	в том	20	2
97	мы видим	4	2
98	или иного	1	2
99	с г	1	2
100	от этого	1	2
101	в целом	4	2
102	и тем	4	2
103	все эти	3	2
104	с одной	2	2
105	думать что	1	2
106	уже в	3	2
107	в нем	1	2
108	связанные с	1	2
109	языка но	1	2
110	для него	3	2
111	в другом	3	2
112	говорить об	1	2
113	вовсе не	2	2
114	тем что	19	2
115	в них	5	2
116	г по	1	2
117	в области	6	2
118	литературного языка	1	2
119	с другой	5	2
120	а как	4	2
121	в самом	2	2
122	того или	1	2
123	она является	1	2
124	одной стороны	3	2
125	материал в	1	2
126	соответствии с	1	2
127	не на	2	2
128	а не	5	2
129	другой стороны	5	2
130	между собою	2	2
131	там где	1	2
132	не мог	2	2
133	несмотря на	3	2
134	в связи	3	2
135	том что	15	2
136	с помощью	1	2
137	в г	12	2
138	и при	1	2
139	и ее	2	2
140	так же	1	2
141	в отношении	2	2
142	своего рода	3	2
143	в течение	4	2
144	с этой	3	2
145	не менее	2	2
146	что эта	2	2
147	самого начала	2	2
148	не имеет	2	2
149	в книге	1	2
150	на язык	3	2
151	пути к	1	2
152	собственно говоря	1	2
153	бы в	1	2
154	нужно отметить	2	2
155	а в	6	2
156	нет ничего	1	2
157	и к	4	2
158	могут быть	2	2
159	в своих	8	2
160	к тому	2	2
161	обычно в	1	1
162	и это	5	1
163	одним из	1	1
164	также и	1	1
165	своего развития	1	1
166	xvii века	2	1
167	но мало	1	1
168	в виду	2	1
169	того же	2	1
170	но вообще	1	1
171	значительной мере	1	1
172	на нем	1	1
