N	3gram	Kanaev_Sov_1	Myshleni
1	с точки зрения	5	21
2	в этом случае	1	14
3	в том что	1	13
4	с самого начала	3	7
5	так же как	1	7
6	с одной стороны	1	5
7	то же самое	2	5
8	по отношению к	1	5
9	в данном случае	1	5
10	в самом деле	1	4
11	не может быть	4	4
12	мы не можем	6	3
13	до сих пор	1	3
14	такой же мере	1	3
15	одной стороны и	1	3
16	в такой же	1	3
17	тем не менее	2	3
18	все эти три	1	2
19	одной и той	1	2
20	друг с другом	2	2
21	представление о том	1	2
22	же самое что	1	2
23	на самом деле	1	2
24	в отличие от	2	2
25	и той же	1	2
26	в конце развития	2	2
27	в конечном счете	1	2
28	в известном смысле	1	2
29	в свою очередь	2	2
30	в себе в	1	2
31	из этих двух	1	1
32	но только не	1	1
33	со всеми ее	1	1
34	конце развития мы	1	1
35	в этой области	1	1
36	в которой он	1	1
37	это значит что	1	1
38	как одной из	1	1
39	в то же	1	1
40	между ним и	1	1
41	в одном случае	1	1
42	тот факт что	1	1
43	и во всех	1	1
44	развития в зависимости	1	1
45	и в этом	1	1
46	развития с точки	1	1
47	что это совершенно	1	1
48	заключает в себе	1	1
49	сих пор в	1	1
50	друг на друга	1	1
51	в этом эксперименте	1	1
52	она не может	1	1
53	все же в	1	1
54	вопрос о методе	1	1
55	шаг за шагом	1	1
56	и не может	1	1
57	тем же законам	1	1
58	заключать в себе	1	1
59	приводит и к	1	1
60	можно было бы	1	1
61	дело идет о	1	1
62	в обоих случаях	1	1
63	не только ничего	1	1
64	и ничего не	1	1
65	не что иное	1	1
66	той или иной	1	1
67	не могут быть	1	1
68	в зависимости от	4	1
69	в этом смысле	1	1
70	что иное как	1	1
71	но все же	1	1
72	есть не что	1	1
73	по аналогии с	1	1
74	и есть то	1	1
75	чем в первом	1	1
76	только ничего не	1	1
77	во всех деталях	1	1
78	в этом направлении	1	1
79	это совершенно невозможно	1	1
80	точки зрения с	1	1
81	у нас на	1	1
82	дело если бы	1	1
83	не давая себе	1	1
84	во всяком случае	2	1
85	таким образом все	1	1
86	только и могут	1	1
87	в биологии и	1	1
