N	2gram	Tiupa_Anal_1	BTomashe
1	и не	21	2
2	в ней	1	2
3	литературных произведений	1	2
4	видеть в	1	2
5	крайней мере	1	1
6	художественного произведения	5	1
7	же не	1	1
8	за пределы	2	1
9	тем более	2	1
10	будто бы	3	1
11	и в	18	1
12	не вполне	1	1
13	и о	2	1
14	выходит за	1	1
15	что все	1	1
16	говорить не	1	1
17	с другой	4	1
18	в своей	6	1
19	литературы как	2	1
20	на самом	2	1
21	на которой	1	1
22	систематизации и	1	1
23	как будто	3	1
24	не следует	4	1
25	было бы	2	1
26	все же	4	1
27	всяком случае	1	1
28	а о	1	1
29	свести к	1	1
30	между ними	1	1
31	было и	1	1
32	еще не	3	1
33	художественном произведении	1	1
34	и на	5	1
35	в пределах	2	1
36	по меньшей	1	1
37	представляется нам	1	1
38	теории литературы	1	1
39	должна быть	1	1
40	прежде всего	6	1
41	в данном	2	1
42	и во	1	1
43	так и	4	1
44	не было	1	1
45	о художественном	1	1
46	совершенно не	1	1
47	в композиции	1	1
48	далеко не	6	1
49	не о	2	1
50	всего в	1	1
51	нельзя не	1	1
52	а не	17	1
53	что в	5	1
54	в области	4	1
55	другой стороны	2	1
56	меньшей мере	1	1
57	творчества и	2	1
58	также не	1	1
59	и ее	1	1
60	не все	2	1
61	по крайней	1	1
62	отнюдь не	15	1
63	таким образом	3	1
64	вопрос о	2	1
65	и более	4	1
66	и потому	2	1
67	не только	15	1
68	во всяком	1	1
